Gender,Household_Income_Percentile,Year,Count,Mean_Household_Income,Race-Adjusted_Life_Expectancy,Unadjusted_Life_Expectancy,Standard_Error_of_Race-Adjusted_Life_Expectancy ,Standard_Error_of_Unadjusted_Life_Expectancy
F,1,2001,"398,740",499.11,79.89,79.68,0.39,0.39
F,1,2002,"411,159",541.31,79.41,79.18,0.35,0.35
F,1,2003,"420,298",529.14,79.57,79.36,0.36,0.36
F,1,2004,"427,728",499.30,80.09,79.90,0.35,0.35
F,1,2005,"433,665",474.15,80.47,80.28,0.33,0.33
F,1,2006,"438,605",446.65,79.70,79.51,0.34,0.34
F,1,2007,"442,887",441.61,79.85,79.67,0.36,0.36
F,1,2008,"448,004",449.46,79.41,79.22,0.33,0.33
F,1,2009,"458,014",171.33,74.53,74.23,0.29,0.30
F,1,2010,"458,386",402.86,79.12,78.92,0.33,0.33
F,1,2011,"457,070",434.74,79.73,79.55,0.34,0.35
F,1,2012,"457,885",452.17,78.76,78.57,0.34,0.35
F,1,2013,"455,050",411.09,79.46,79.30,0.35,0.35
F,1,2014,"438,263",327.11,79.82,79.68,0.35,0.35
F,2,2001,"399,174","2,063.01",81.13,80.97,0.42,0.43
F,2,2002,"411,937","2,215.85",81.12,80.96,0.38,0.39
F,2,2003,"420,922","2,180.09",80.41,80.25,0.41,0.42
F,2,2004,"428,453","2,102.18",81.54,81.40,0.36,0.37
F,2,2005,"434,236","2,003.29",81.35,81.22,0.38,0.38
F,2,2006,"439,182","1,889.00",80.92,80.78,0.38,0.39
F,2,2007,"443,493","1,895.38",81.72,81.60,0.37,0.38
F,2,2008,"448,766","1,932.04",81.07,80.94,0.37,0.38
F,2,2009,"459,084","1,386.15",79.92,79.76,0.36,0.37
F,2,2010,"459,267","1,858.43",80.12,79.95,0.38,0.38
F,2,2011,"457,634","1,998.62",81.66,81.54,0.35,0.36
F,2,2012,"458,241","2,077.61",80.84,80.71,0.38,0.39
F,2,2013,"455,623","1,892.21",81.01,80.89,0.36,0.36
F,2,2014,"438,723","1,517.91",80.67,80.55,0.40,0.41
F,3,2001,"399,396","3,938.15",81.35,81.23,0.45,0.46
F,3,2002,"412,281","4,176.96",80.90,80.77,0.39,0.40
F,3,2003,"421,320","4,116.15",81.47,81.35,0.43,0.44
F,3,2004,"428,784","3,988.39",82.72,82.63,0.38,0.39
F,3,2005,"434,493","3,847.27",81.82,81.72,0.39,0.40
F,3,2006,"439,698","3,663.25",82.72,82.63,0.38,0.39
F,3,2007,"444,042","3,690.96",82.51,82.42,0.37,0.37
F,3,2008,"449,091","3,735.43",81.05,80.94,0.40,0.40
F,3,2009,"459,745","3,159.73",81.27,81.15,0.39,0.40
F,3,2010,"459,535","3,613.19",82.13,82.02,0.38,0.38
