household_type,income_group,year,num_households,num_people,num_children,num_adults,num_elderly
all_households,all_quintiles,1979,81.1,221.9,64.8,133.0,24.2
all_households,all_quintiles,1980,82.6,224.5,64.5,135.2,24.7
all_households,all_quintiles,1981,83.8,226.0,63.9,136.8,25.3
all_households,all_quintiles,1982,84.3,227.6,63.2,138.5,25.8
all_households,all_quintiles,1983,85.8,229.4,63.3,140.0,26.1
all_households,all_quintiles,1984,87.2,231.3,63.2,141.4,26.6
all_households,all_quintiles,1985,88.8,234.6,64.2,143.2,27.2
all_households,all_quintiles,1986,89.9,237.1,64.4,144.8,27.9
all_households,all_quintiles,1987,91.4,239.8,65.2,146.1,28.5
all_households,all_quintiles,1988,93.1,241.7,65.1,147.7,28.9
all_households,all_quintiles,1989,93.6,243.9,65.7,148.9,29.2
all_households,all_quintiles,1990,94.6,246.7,67.1,149.8,29.9
all_households,all_quintiles,1991,96.0,249.0,67.2,151.4,30.4
all_households,all_quintiles,1992,96.3,250.4,68.4,151.7,30.3
all_households,all_quintiles,1993,97.3,255.0,71.1,153.1,30.7
all_households,all_quintiles,1994,99.1,257.8,71.5,155.0,31.3
all_households,all_quintiles,1995,99.7,258.6,71.3,155.8,31.5
all_households,all_quintiles,1996,101.1,261.9,72.0,158.4,31.6
all_households,all_quintiles,1997,102.6,264.2,72.4,160.0,31.8
all_households,all_quintiles,1998,104.0,266.3,72.0,162.2,32.2
all_households,all_quintiles,1999,104.8,269.6,72.0,165.1,32.4
all_households,all_quintiles,2000,108.3,276.5,73.4,169.5,33.7
all_households,all_quintiles,2001,109.4,277.8,73.5,170.5,33.8
all_households,all_quintiles,2002,111.4,282.1,74.2,173.9,34.0
all_households,all_quintiles,2003,112.1,284.0,74.7,174.6,34.7
all_households,all_quintiles,2004,113.3,288.0,76.1,176.6,35.3
all_households,all_quintiles,2005,114.5,289.3,75.1,178.5,35.7
all_households,all_quintiles,2006,116.1,292.7,75.5,181.1,36.2
all_households,all_quintiles,2007,116.9,292.9,74.4,181.8,36.7
all_households,all_quintiles,2008,117.3,295.1,74.2,183.2,37.7
all_households,all_quintiles,2009,117.6,298.0,73.9,185.4,38.6
all_households,all_quintiles,2010,120.0,301.4,73.5,188.3,39.7
all_households,all_quintiles,2011,121.2,302.5,72.9,188.0,41.6
all_households,all_quintiles,2012,122.5,305.8,73.5,188.9,43.4
all_households,all_quintiles,2013,123.1,306.0,72.4,189.0,44.6
all_households,all_quintiles,2014,124.7,310.4,73.7,190.7,46.1
all_households,all_quintiles,2015,126.1,311.5,72.7,191.2,47.6
all_households,all_quintiles,2016,126.5,311.9,71.7,190.7,49.5
all_households,all_quintiles,2017,127.7,315.2,72.4,191.3,51.5
all_households,lowest_quintile,1979,17.5,43.5,15.8,21.1,6.7
all_households,lowest_quintile,1980,17.4,43.7,15.7,22.1,5.8
all_households,lowest_quintile,1981,17.1,43.8,16.0,23.0,4.8
all_households,lowest_quintile,1982,16.7,44.1,16.2,24.0,3.9
all_households,lowest_quintile,1983,16.5,44.4,16.9,24.4,3.1
all_households,lowest_quintile,1984,17.4,44.7,16.1,25.3,3.3
all_households,lowest_quintile,1985,17.2,45.5,17.0,25.3,3.2
all_households,lowest_quintile,1986,17.5,46.1,17.2,25.9,3.0
all_households,lowest_quintile,1987,17.0,46.7,18.9,24.7,3.1
all_households,lowest_quintile,1988,17.2,47.1,18.9,24.9,3.3
all_households,lowest_quintile,1989,17.3,47.7,18.9,25.2,3.5
all_households,lowest_quintile,1990,17.5,48.2,19.1,25.5,3.6
all_households,lowest_quintile,1991,17.8,48.7,19.0,26.3,3.4
all_households,lowest_quintile,1992,17.6,49.0,19.1,26.8,3.1
all_households,lowest_quintile,1993,17.8,49.9,19.7,27.2,3.0
all_households,lowest_quintile,1994,18.2,50.5,19.7,27.3,3.4
all_households,lowest_quintile,1995,18.7,50.9,19.3,28.4,3.2
all_households,lowest_quintile,1996,18.9,51.5,19.3,29.3,2.9
all_households,lowest_quintile,1997,19.5,51.8,18.7,30.0,3.1
all_households,lowest_quintile,1998,19.9,52.3,18.8,30.2,3.3
all_households,lowest_quintile,1999,20.4,53.0,18.5,30.8,3.8
all_households,lowest_quintile,2000,20.8,54.5,19.1,31.5,3.9
all_households,lowest_quintile,2001,21.0,54.5,18.9,31.6,3.9
all_households,lowest_quintile,2002,21.5,55.2,18.8,32.7,3.7
all_households,lowest_quintile,2003,21.9,55.6,18.4,33.1,4.1
all_households,lowest_quintile,2004,22.4,56.4,18.5,33.7,4.2
all_households,lowest_quintile,2005,23.0,56.7,18.1,34.4,4.2
all_households,lowest_quintile,2006,22.4,57.4,19.1,34.8,3.5
all_households,lowest_quintile,2007,23.5,57.4,18.6,35.1,3.8
all_households,lowest_quintile,2008,23.6,57.6,17.8,35.7,4.1
all_households,lowest_quintile,2009,23.1,58.0,18.2,36.3,3.6
all_households,lowest_quintile,2010,23.9,58.8,18.0,37.3,3.5
all_households,lowest_quintile,2011,24.6,59.1,17.7,37.3,4.1
all_households,lowest_quintile,2012,24.6,59.9,18.1,37.8,4.1
all_households,lowest_quintile,2013,24.8,60.0,17.8,37.9,4.3
all_households,lowest_quintile,2014,25.7,60.8,18.2,37.7,4.9
all_households,lowest_quintile,2015,26.7,61.2,17.9,37.8,5.5
all_households,lowest_quintile,2016,27.2,61.3,17.4,37.6,6.3
all_households,lowest_quintile,2017,26.8,61.9,18.5,36.8,6.6
all_households,second_quintile,1979,16.0,44.4,15.3,23.5,5.6
all_households,second_quintile,1980,16.5,44.9,15.1,23.8,5.9
all_households,second_quintile,1981,16.7,45.2,15.1,24.2,5.9
all_households,second_quintile,1982,16.7,45.5,15.2,24.3,6.0
all_households,second_quintile,1983,17.0,45.9,15.4,24.6,5.9
all_households,second_quintile,1984,17.4,46.2,15.1,25.0,6.1
all_households,second_quintile,1985,17.7,46.9,15.4,25.5,6.1
all_households,second_quintile,1986,17.9,47.4,15.5,25.5,6.4
all_households,second_quintile,1987,18.9,48.0,14.6,26.3,7.1
all_households,second_quintile,1988,19.2,48.3,14.5,26.5,7.3
all_households,second_quintile,1989,19.3,48.8,14.8,26.9,7.0
all_households,second_quintile,1990,19.2,49.3,15.5,27.1,6.7
all_households,second_quintile,1991,19.3,49.8,15.9,27.4,6.5
all_households,second_quintile,1992,19.3,50.1,16.5,27.2,6.4
all_households,second_quintile,1993,19.5,51.0,16.9,27.4,6.6
all_households,second_quintile,1994,20.0,51.6,16.9,28.0,6.7
all_households,second_quintile,1995,19.9,51.7,16.8,28.3,6.6
all_households,second_quintile,1996,20.2,52.4,17.4,28.8,6.2
all_households,second_quintile,1997,20.0,52.8,18.0,28.9,5.9
all_households,second_quintile,1998,20.4,53.3,17.7,29.5,6.0
all_households,second_quintile,1999,20.4,53.9,17.6,30.2,6.2
all_households,second_quintile,2000,21.4,55.3,17.7,31.5,6.1
all_households,second_quintile,2001,21.5,55.6,17.8,31.3,6.4
all_households,second_quintile,2002,22.0,56.4,18.0,31.9,6.5
all_households,second_quintile,2003,22.3,56.8,18.3,31.7,6.8
all_households,second_quintile,2004,22.4,57.6,18.6,32.3,6.7
all_households,second_quintile,2005,22.5,57.9,18.6,32.5,6.7
all_households,second_quintile,2006,23.0,58.5,18.4,33.6,6.5
all_households,second_quintile,2007,22.9,58.6,18.4,33.9,6.3
all_households,second_quintile,2008,23.0,59.0,18.5,34.1,6.4
all_households,second_quintile,2009,22.9,59.6,18.4,34.6,6.5
all_households,second_quintile,2010,23.3,60.3,18.5,35.3,6.5
all_households,second_quintile,2011,23.5,60.5,18.3,35.4,6.8
all_households,second_quintile,2012,23.8,61.2,18.7,35.4,7.1
all_households,second_quintile,2013,24.0,61.2,18.0,35.9,7.3
all_households,second_quintile,2014,24.4,62.1,18.5,35.7,7.8
all_households,second_quintile,2015,24.6,62.3,18.3,36.1,7.9
all_households,second_quintile,2016,24.7,62.4,18.0,36.2,8.2
all_households,second_quintile,2017,25.2,63.0,17.8,36.1,9.1
all_households,middle_quintile,1979,15.3,44.4,14.1,26.3,3.9
all_households,middle_quintile,1980,15.4,44.9,14.4,26.6,3.9
all_households,middle_quintile,1981,15.8,45.2,14.2,27.0,4.1
all_households,middle_quintile,1982,16.1,45.5,13.7,27.2,4.6
all_households,middle_quintile,1983,16.7,45.9,13.1,27.7,5.1
all_households,middle_quintile,1984,16.7,46.3,13.5,27.8,5.0
all_households,middle_quintile,1985,17.1,46.9,13.4,28.3,5.2
all_households,middle_quintile,1986,17.5,47.4,13.3,28.5,5.7
all_households,middle_quintile,1987,18.1,48.0,13.1,28.6,6.2
all_households,middle_quintile,1988,18.4,48.3,13.3,29.2,5.9
all_households,middle_quintile,1989,18.6,48.8,13.1,29.7,5.9
all_households,middle_quintile,1990,18.7,49.3,13.4,29.7,6.2
all_households,middle_quintile,1991,19.2,49.8,13.2,30.1,6.5
all_households,middle_quintile,1992,19.5,50.1,13.2,30.1,6.8
all_households,middle_quintile,1993,19.7,51.0,14.0,30.3,6.7
all_households,middle_quintile,1994,20.1,51.6,14.1,30.5,6.9
all_households,middle_quintile,1995,19.9,51.7,14.2,30.8,6.7
all_households,middle_quintile,1996,20.2,52.4,14.4,31.3,6.6
all_households,middle_quintile,1997,20.5,52.8,14.6,31.8,6.5
all_households,middle_quintile,1998,20.8,53.3,14.3,32.0,7.0
all_households,middle_quintile,1999,20.9,53.9,14.3,32.5,7.1
all_households,middle_quintile,2000,21.8,55.3,14.5,33.4,7.5
all_households,middle_quintile,2001,21.9,55.6,14.6,33.6,7.4
all_households,middle_quintile,2002,22.3,56.4,14.8,34.2,7.4
all_households,middle_quintile,2003,22.6,56.8,14.8,34.1,7.9
all_households,middle_quintile,2004,22.7,57.6,15.3,34.4,7.9
all_households,middle_quintile,2005,22.9,57.9,15.1,35.0,7.7
all_households,middle_quintile,2006,23.5,58.5,14.8,35.5,8.2
all_households,middle_quintile,2007,23.3,58.6,14.7,36.2,7.6
all_households,middle_quintile,2008,23.5,59.0,14.6,36.1,8.3
all_households,middle_quintile,2009,23.7,59.6,14.3,36.7,8.6
all_households,middle_quintile,2010,24.1,60.3,14.4,37.2,8.7
all_households,middle_quintile,2011,24.4,60.5,14.1,37.0,9.5
all_households,middle_quintile,2012,24.6,61.2,14.2,37.4,9.6
all_households,middle_quintile,2013,24.7,61.2,14.3,37.5,9.4
all_households,middle_quintile,2014,24.6,62.1,14.5,38.1,9.4
all_households,middle_quintile,2015,24.7,62.3,14.2,38.3,9.8
all_households,middle_quintile,2016,24.6,62.4,14.1,38.2,10.0
all_households,middle_quintile,2017,24.9,63.0,14.1,38.6,10.3
all_households,fourth_quintile,1979,15.6,44.4,11.5,29.3,3.6
all_households,fourth_quintile,1980,16.0,44.9,11.3,29.6,4.0
all_households,fourth_quintile,1981,16.3,45.2,11.0,29.7,4.6
all_households,fourth_quintile,1982,16.6,45.5,10.7,29.8,5.0
all_households,fourth_quintile,1983,17.1,45.9,10.4,30.0,5.4
all_households,fourth_quintile,1984,17.3,46.2,10.6,29.9,5.7
all_households,fourth_quintile,1985,17.6,46.9,10.7,30.3,5.9
all_households,fourth_quintile,1986,17.8,47.4,10.6,30.8,6.1
all_households,fourth_quintile,1987,18.2,48.0,10.8,31.0,6.2
all_households,fourth_quintile,1988,18.7,48.3,10.7,31.5,6.2
all_households,fourth_quintile,1989,18.8,48.8,10.8,31.6,6.4
all_households,fourth_quintile,1990,19.1,49.3,10.8,32.0,6.6
all_households,fourth_quintile,1991,19.3,49.8,10.8,31.9,7.1
all_households,fourth_quintile,1992,19.4,50.1,11.1,32.0,6.9
all_households,fourth_quintile,1993,19.6,51.0,11.6,32.2,7.3
all_households,fourth_quintile,1994,20.0,51.6,11.6,32.7,7.3
all_households,fourth_quintile,1995,20.2,51.7,11.6,32.6,7.6
all_households,fourth_quintile,1996,20.4,52.4,11.8,32.8,7.8
all_households,fourth_quintile,1997,20.7,52.8,11.8,33.0,8.1
all_households,fourth_quintile,1998,21.0,53.3,11.6,33.8,7.8
all_households,fourth_quintile,1999,21.0,53.9,11.9,34.3,7.8
all_households,fourth_quintile,2000,21.7,55.3,12.0,35.1,8.2
all_households,fourth_quintile,2001,22.1,55.6,11.9,35.3,8.4
all_households,fourth_quintile,2002,22.5,56.4,12.0,35.7,8.8
all_households,fourth_quintile,2003,22.3,56.8,12.5,35.8,8.5
all_households,fourth_quintile,2004,22.5,57.6,12.7,36.3,8.6
all_households,fourth_quintile,2005,22.7,57.9,12.5,36.7,8.7
all_households,fourth_quintile,2006,23.2,58.5,12.2,37.2,9.1
all_households,fourth_quintile,2007,23.1,58.6,12.1,37.0,9.5
all_households,fourth_quintile,2008,23.1,59.0,12.3,37.1,9.7
all_households,fourth_quintile,2009,23.5,59.6,12.2,37.3,10.1
all_households,fourth_quintile,2010,24.1,60.3,11.8,37.7,10.8
