household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,17300,24700,32600,44100,44100,55300,68500,123600
1,1980,0,16800,24000,31800,43000,43000,54100,66800,121500
1,1981,0,16600,23900,31800,43200,43200,54200,67400,122900
1,1982,0,16400,23800,32000,44200,44200,56000,69200,128900
1,1983,0,16000,23700,32400,45000,45000,57500,72100,136800
1,1984,0,16800,24800,34000,47600,47600,61300,77200,147800
1,1985,0,16800,24800,34200,47700,47700,61400,77700,153200
1,1986,0,17000,25500,35100,49400,49400,63800,82300,176300
1,1987,0,16600,25500,35700,50000,50000,64000,80600,159500
1,1988,0,17000,26000,36200,50700,50700,65400,83000,170100
1,1989,0,17600,26300,36600,51400,51400,66400,84800,173500
1,1990,0,18100,26600,36600,51100,51100,65800,84000,167500
1,1991,0,18300,26600,36500,50500,50500,65100,82600,163400
1,1992,0,18500,27100,37000,51200,51200,66200,84800,170900
1,1993,0,18800,27300,37200,51700,51700,66600,84900,165000
1,1994,0,19200,27600,37700,52300,52300,67500,86200,166200
1,1995,0,20000,28700,38700,53700,53700,69500,89500,178200
1,1996,0,20100,28900,39500,54900,54900,71700,92500,187700
1,1997,0,20600,29500,40200,56400,56400,74000,97200,201700
1,1998,0,21800,31000,42100,58900,58900,77400,102200,217200
1,1999,0,22300,31800,43200,60600,60600,79900,105200,231000
1,2000,0,22300,32300,44000,61800,61800,82000,108800,240500
1,2001,0,22900,33000,44700,62600,62600,81600,106700,220800
1,2002,0,23100,32900,44400,62000,62000,80900,104900,213600
1,2003,0,23300,33400,45200,63700,63700,83200,108400,220300
1,2004,0,24000,34300,46300,65400,65400,85900,112100,240100
1,2005,0,24400,34600,47100,66600,66600,88600,118100,265300
1,2006,0,24600,35300,48100,68400,68400,91200,122100,281100
1,2007,0,25800,36500,49600,70100,70100,93600,125700,292400
1,2008,0,26300,36900,49700,69600,69600,92000,121200,262600
1,2009,0,26100,36600,49300,69100,69100,90600,117600,232400
1,2010,0,26200,36500,49100,68600,68600,90500,118100,243300
1,2011,0,26100,36300,48800,69200,69200,92000,120600,250500
1,2012,0,25700,36200,48900,69600,69600,93000,123300,272100
1,2013,0,26100,36200,49100,69700,69700,93300,123200,259300
1,2014,0,27000,37100,49900,71100,71100,94900,126700,271000
1,2015,0,28500,38800,52000,73500,73500,98400,130800,281700
1,2016,0,28900,39300,52300,74000,74000,99200,131200,276000
1,2017,0,29000,39700,52900,75400,75400,101200,136200,290700
2,1979,0,24400,34900,46100,62300,62300,78100,96900,174800
2,1980,0,23800,34000,44900,60800,60800,76400,94500,171800
2,1981,0,23500,33800,45000,61000,61000,76600,95300,173800
2,1982,0,23200,33700,45300,62400,62400,79200,97900,182200
2,1983,0,22600,33500,45800,63600,63600,81300,102000,193500
2,1984,0,23800,35000,48100,67300,67300,86700,109200,209100
2,1985,0,23700,35100,48400,67400,67400,86900,109900,216600
2,1986,0,24000,36000,49600,69800,69800,90200,116500,249400
2,1987,0,23500,36100,50500,70700,70700,90500,114000,225600
2,1988,0,24100,36700,51100,71700,71700,92500,117300,240600
2,1989,0,24800,37300,51700,72700,72700,93900,119900,245400
2,1990,0,25600,37700,51800,72200,72200,93000,118900,236900
2,1991,0,25900,37600,51600,71400,71400,92100,116900,231000
2,1992,0,26100,38300,52300,72400,72400,93700,119900,241600
2,1993,0,26600,38500,52600,73200,73200,94200,120100,233300
2,1994,0,27100,39000,53300,73900,73900,95500,121900,235100
2,1995,0,28300,40600,54700,76000,76000,98300,126500,252000
2,1996,0,28400,40800,55900,77700,77700,101400,130800,265400
2,1997,0,29200,41800,56800,79800,79800,104600,137400,285300
2,1998,0,30800,43900,59600,83300,83300,109500,144500,307100
2,1999,0,31500,45000,61100,85700,85700,112900,148800,326600
2,2000,0,31600,45700,62200,87500,87500,116000,153900,340200
2,2001,0,32300,46700,63200,88500,88500,115300,150900,312300
2,2002,0,32600,46500,62800,87600,87600,114400,148400,302000
2,2003,0,32900,47200,63900,90100,90100,117600,153300,311600
2,2004,0,33900,48500,65500,92500,92500,121400,158500,339600
2,2005,0,34500,48900,66600,94200,94200,125300,167100,375100
2,2006,0,34800,49900,68000,96800,96800,129000,172600,397600
2,2007,0,36500,51600,70100,99100,99100,132300,177700,413500
2,2008,0,37200,52200,70300,98500,98500,130100,171400,371300
2,2009,0,37000,51700,69700,97700,97700,128100,166300,328700
2,2010,0,37000,51600,69400,97100,97100,128000,167100,344100
2,2011,0,36900,51300,69100,97900,97900,130100,170500,354200
2,2012,0,36400,51100,69200,98400,98400,131600,174400,384900
2,2013,0,36900,51300,69500,98500,98500,132000,174300,366700
