household_type,income_group,year,inc_before_transfers_taxes,market_income,wages,employee_contrib_deferred_comp,employer_contrib_health_ins,employer_share_payroll_taxes,federal_unemployment_tax,corp_tax_borne_by_labor,business_income,capital_gains,tax_exempt_interest,taxable_interest,positive_rental_income,dividends,corp_tax_borne_by_capital,other_market_income,social_insurance_benefits,social_security,medicare,unemployment_insurance,workers_compensation
all_households,all_quintiles,1979,67000.0,62300.0,43300.0,0.0,1900.0,2200.0,100.0,600.0,3000.0,2500.0,200.0,2700.0,600.0,1200.0,1700.0,2500.0,4700.0,3400.0,900.0,300.0,100.0
all_households,all_quintiles,1980,65100.0,60100.0,42100.0,0.0,1600.0,2100.0,100.0,500.0,2400.0,2200.0,200.0,3300.0,600.0,1300.0,1400.0,2400.0,5000.0,3500.0,1000.0,400.0,100.0
all_households,all_quintiles,1981,65400.0,60100.0,41900.0,0.0,1600.0,2300.0,100.0,400.0,1900.0,2100.0,200.0,4000.0,600.0,1400.0,1100.0,2500.0,5300.0,3700.0,1100.0,400.0,100.0
all_households,all_quintiles,1982,65500.0,59700.0,41600.0,0.0,1800.0,2300.0,100.0,200.0,1700.0,2200.0,300.0,4200.0,600.0,1400.0,700.0,2400.0,5800.0,3800.0,1200.0,500.0,200.0
all_households,all_quintiles,1983,66100.0,60200.0,41100.0,0.0,1900.0,2300.0,100.0,300.0,2000.0,3000.0,300.0,3900.0,600.0,1300.0,900.0,2600.0,5900.0,3900.0,1300.0,500.0,200.0
all_households,all_quintiles,1984,69900.0,64200.0,42900.0,200.0,1900.0,2500.0,100.0,400.0,2700.0,3200.0,400.0,4200.0,600.0,1200.0,1100.0,2800.0,5700.0,3900.0,1400.0,300.0,200.0
all_households,all_quintiles,1985,70900.0,65200.0,43400.0,400.0,1900.0,2600.0,100.0,300.0,2400.0,3700.0,400.0,4100.0,600.0,1300.0,1000.0,2800.0,5800.0,3900.0,1400.0,300.0,200.0
all_households,all_quintiles,1986,75800.0,69800.0,44300.0,400.0,2000.0,2700.0,100.0,400.0,2800.0,7000.0,500.0,3700.0,500.0,1400.0,1100.0,2900.0,6000.0,4000.0,1500.0,300.0,200.0
all_households,all_quintiles,1987,73300.0,67400.0,44900.0,500.0,2200.0,2800.0,100.0,400.0,3200.0,2800.0,600.0,3600.0,600.0,1400.0,1300.0,3000.0,5900.0,3900.0,1500.0,300.0,200.0
all_households,all_quintiles,1988,76400.0,70500.0,45800.0,500.0,2300.0,2900.0,100.0,500.0,4000.0,3000.0,600.0,3700.0,600.0,1500.0,1400.0,3600.0,5900.0,3900.0,1500.0,200.0,200.0
