household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,2.2,0.6,0.4,0.3,0.8
all_households,all_quintiles,1980,2.3,0.7,0.4,0.4,0.9
all_households,all_quintiles,1981,2.4,0.7,0.5,0.3,0.9
all_households,all_quintiles,1982,2.3,0.7,0.4,0.3,0.9
all_households,all_quintiles,1983,2.4,0.7,0.4,0.3,0.9
all_households,all_quintiles,1984,2.2,0.7,0.4,0.3,0.9
all_households,all_quintiles,1985,2.2,0.7,0.3,0.3,0.9
all_households,all_quintiles,1986,2.1,0.7,0.3,0.3,0.8
all_households,all_quintiles,1987,2.2,0.8,0.3,0.3,0.8
all_households,all_quintiles,1988,2.2,0.8,0.3,0.3,0.8
all_households,all_quintiles,1989,2.3,0.8,0.3,0.3,0.8
all_households,all_quintiles,1990,2.5,1.0,0.3,0.4,0.8
all_households,all_quintiles,1991,2.9,1.2,0.4,0.4,0.9
all_households,all_quintiles,1992,3.1,1.3,0.5,0.5,0.9
all_households,all_quintiles,1993,3.3,1.4,0.5,0.5,0.9
all_households,all_quintiles,1994,3.3,1.5,0.4,0.5,0.9
all_households,all_quintiles,1995,3.3,1.5,0.4,0.5,0.9
all_households,all_quintiles,1996,3.0,1.4,0.4,0.5,0.8
all_households,all_quintiles,1997,2.8,1.4,0.3,0.4,0.7
all_households,all_quintiles,1998,2.8,1.5,0.2,0.4,0.6
all_households,all_quintiles,1999,2.7,1.5,0.2,0.4,0.5
all_households,all_quintiles,2000,2.7,1.6,0.2,0.4,0.5
all_households,all_quintiles,2001,3.0,1.9,0.2,0.4,0.5
all_households,all_quintiles,2002,3.5,2.2,0.2,0.4,0.5
all_households,all_quintiles,2003,3.7,2.4,0.3,0.4,0.6
all_households,all_quintiles,2004,3.6,2.4,0.3,0.4,0.5
all_households,all_quintiles,2005,3.5,2.3,0.3,0.4,0.5
all_households,all_quintiles,2006,3.3,2.1,0.3,0.4,0.5
all_households,all_quintiles,2007,3.3,2.1,0.3,0.4,0.5
all_households,all_quintiles,2008,3.7,2.4,0.3,0.4,0.6
all_households,all_quintiles,2009,4.4,2.8,0.5,0.5,0.7
all_households,all_quintiles,2010,4.5,2.8,0.6,0.5,0.7
all_households,all_quintiles,2011,4.5,2.7,0.7,0.5,0.7
all_households,all_quintiles,2012,4.3,2.6,0.6,0.4,0.6
all_households,all_quintiles,2013,4.4,2.7,0.6,0.5,0.6
all_households,all_quintiles,2014,4.9,3.3,0.5,0.4,0.6
all_households,all_quintiles,2015,5.1,3.6,0.5,0.4,0.6
all_households,all_quintiles,2016,5.3,3.7,0.5,0.4,0.7
all_households,all_quintiles,2017,5.1,3.6,0.5,0.4,0.6
all_households,lowest_quintile,1979,18.8,5.3,4.1,1.9,7.4
all_households,lowest_quintile,1980,18.8,5.2,4.6,1.8,7.3
all_households,lowest_quintile,1981,20.2,5.5,5.4,1.8,7.6
all_households,lowest_quintile,1982,21.5,5.7,5.3,1.7,8.7
all_households,lowest_quintile,1983,23.2,6.2,5.7,1.6,9.7
all_households,lowest_quintile,1984,20.6,5.7,4.5,1.8,8.6
all_households,lowest_quintile,1985,21.6,5.9,4.6,1.8,9.3
all_households,lowest_quintile,1986,22.1,6.4,4.4,1.8,9.5
all_households,lowest_quintile,1987,25.5,7.6,5.1,1.8,11.0
all_households,lowest_quintile,1988,23.2,7.1,4.8,1.4,10.0
all_households,lowest_quintile,1989,21.8,7.0,4.5,1.4,8.9
all_households,lowest_quintile,1990,21.8,7.4,4.6,1.2,8.5
all_households,lowest_quintile,1991,22.4,8.0,4.9,1.3,8.2
all_households,lowest_quintile,1992,20.8,8.0,4.9,1.2,6.7
all_households,lowest_quintile,1993,22.0,8.5,4.8,1.3,7.4
all_households,lowest_quintile,1994,22.2,8.6,4.9,1.8,7.0
all_households,lowest_quintile,1995,19.8,8.1,4.2,1.7,5.8
all_households,lowest_quintile,1996,18.2,7.7,3.7,1.8,5.0
all_households,lowest_quintile,1997,14.8,7.1,2.6,1.5,3.6
all_households,lowest_quintile,1998,15.3,8.0,2.2,1.6,3.5
all_households,lowest_quintile,1999,14.4,8.1,1.9,1.3,3.1
all_households,lowest_quintile,2000,15.0,9.1,1.8,1.3,2.9
all_households,lowest_quintile,2001,16.9,10.3,2.0,1.4,3.2
all_households,lowest_quintile,2002,16.4,10.5,2.1,1.1,2.7
all_households,lowest_quintile,2003,17.7,11.4,2.6,1.0,2.8
all_households,lowest_quintile,2004,18.3,12.0,2.9,1.0,2.4
all_households,lowest_quintile,2005,18.3,11.5,3.0,1.1,2.7
all_households,lowest_quintile,2006,18.9,11.9,3.0,1.3,2.7
all_households,lowest_quintile,2007,17.7,11.1,2.8,1.2,2.5
all_households,lowest_quintile,2008,18.6,11.7,3.1,1.3,2.6
all_households,lowest_quintile,2009,21.2,12.6,4.7,1.2,2.8
all_households,lowest_quintile,2010,21.9,12.7,5.2,1.3,2.7
all_households,lowest_quintile,2011,22.2,12.0,5.8,1.3,3.0
all_households,lowest_quintile,2012,24.8,13.8,6.5,1.5,3.1
all_households,lowest_quintile,2013,23.8,13.8,5.9,1.4,2.8
all_households,lowest_quintile,2014,26.8,17.8,4.9,1.1,3.0
all_households,lowest_quintile,2015,27.5,18.9,4.5,1.2,3.0
all_households,lowest_quintile,2016,27.0,18.9,4.1,1.0,3.0
all_households,lowest_quintile,2017,27.9,19.7,4.2,1.0,3.0
all_households,second_quintile,1979,6.0,1.7,0.9,1.1,2.3
all_households,second_quintile,1980,7.3,2.1,1.1,1.3,2.8
all_households,second_quintile,1981,7.3,2.1,1.2,1.2,2.9
all_households,second_quintile,1982,7.7,2.3,1.2,1.3,3.0
all_households,second_quintile,1983,8.2,2.5,1.1,1.4,3.2
all_households,second_quintile,1984,7.5,2.3,1.0,1.2,3.0
all_households,second_quintile,1985,7.9,2.5,1.0,1.2,3.1
all_households,second_quintile,1986,7.9,2.6,0.9,1.3,3.0
all_households,second_quintile,1987,7.3,2.7,0.7,1.4,2.5
all_households,second_quintile,1988,7.4,2.7,0.7,1.5,2.5
all_households,second_quintile,1989,8.0,3.1,0.8,1.4,2.8
all_households,second_quintile,1990,8.8,3.4,0.9,1.4,3.0
all_households,second_quintile,1991,9.9,4.0,1.2,1.5,3.2
all_households,second_quintile,1992,11.3,4.6,1.5,1.6,3.5
all_households,second_quintile,1993,11.8,4.9,1.5,1.7,3.7
all_households,second_quintile,1994,11.5,4.8,1.4,1.7,3.6
all_households,second_quintile,1995,11.1,4.8,1.3,1.6,3.4
all_households,second_quintile,1996,11.5,5.0,1.4,1.7,3.3
all_households,second_quintile,1997,11.2,5.1,1.2,1.7,3.2
all_households,second_quintile,1998,11.0,5.6,1.0,1.7,2.8
all_households,second_quintile,1999,10.8,5.9,0.9,1.6,2.4
all_households,second_quintile,2000,10.7,6.1,0.8,1.5,2.3
all_households,second_quintile,2001,11.1,6.6,0.8,1.5,2.2
all_households,second_quintile,2002,11.8,7.3,0.9,1.4,2.2
all_households,second_quintile,2003,12.1,7.5,1.0,1.3,2.2
all_households,second_quintile,2004,12.0,7.6,1.1,1.2,2.1
all_households,second_quintile,2005,13.0,8.2,1.2,1.4,2.2
all_households,second_quintile,2006,12.0,7.3,1.1,1.4,2.2
all_households,second_quintile,2007,11.6,7.0,1.1,1.3,2.2
all_households,second_quintile,2008,12.7,7.8,1.3,1.4,2.3
all_households,second_quintile,2009,13.8,8.2,1.9,1.4,2.4
all_households,second_quintile,2010,14.8,8.7,2.2,1.4,2.5
all_households,second_quintile,2011,15.0,8.7,2.3,1.5,2.5
all_households,second_quintile,2012,14.7,8.6,2.3,1.4,2.4
all_households,second_quintile,2013,15.1,9.1,2.2,1.5,2.3
all_households,second_quintile,2014,17.2,11.3,2.0,1.4,2.5
all_households,second_quintile,2015,18.0,12.1,1.9,1.4,2.6
all_households,second_quintile,2016,17.6,11.9,1.6,1.3,2.6
all_households,second_quintile,2017,17.3,11.9,1.6,1.2,2.5
all_households,middle_quintile,1979,1.5,0.5,0.2,0.4,0.5
all_households,middle_quintile,1980,1.8,0.5,0.2,0.4,0.6
all_households,middle_quintile,1981,1.9,0.6,0.2,0.4,0.6
all_households,middle_quintile,1982,1.7,0.6,0.2,0.4,0.6
all_households,middle_quintile,1983,1.8,0.6,0.2,0.4,0.6
all_households,middle_quintile,1984,1.8,0.6,0.2,0.4,0.6
all_households,middle_quintile,1985,1.8,0.7,0.1,0.5,0.6
all_households,middle_quintile,1986,1.8,0.7,0.1,0.4,0.6
all_households,middle_quintile,1987,1.8,0.7,0.1,0.5,0.5
all_households,middle_quintile,1988,2.0,0.8,0.1,0.5,0.6
all_households,middle_quintile,1989,2.3,0.9,0.1,0.6,0.6
all_households,middle_quintile,1990,2.8,1.2,0.2,0.6,0.8
all_households,middle_quintile,1991,3.4,1.6,0.3,0.8,0.9
