household_type,income_group,year,market_inc,inc_before_transfers_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0
all_households,lowest_quintile,1979,4.4,5.6,7.5
all_households,lowest_quintile,1980,4.5,5.5,7.4
all_households,lowest_quintile,1981,4.4,5.3,7.1
all_households,lowest_quintile,1982,4.2,5.0,6.6
all_households,lowest_quintile,1983,4.1,4.6,6.2
all_households,lowest_quintile,1984,4.2,4.8,6.2
all_households,lowest_quintile,1985,4.1,4.6,6.1
all_households,lowest_quintile,1986,3.8,4.3,5.7
all_households,lowest_quintile,1987,3.6,4.1,5.7
all_households,lowest_quintile,1988,3.6,4.1,5.6
all_households,lowest_quintile,1989,3.8,4.2,5.8
all_households,lowest_quintile,1990,4.0,4.5,6.0
all_households,lowest_quintile,1991,4.2,4.7,6.3
all_households,lowest_quintile,1992,4.2,4.6,6.1
all_households,lowest_quintile,1993,4.3,4.6,6.2
all_households,lowest_quintile,1994,4.2,4.6,6.3
all_households,lowest_quintile,1995,4.4,4.8,6.4
all_households,lowest_quintile,1996,4.3,4.6,6.1
all_households,lowest_quintile,1997,4.4,4.7,6.1
all_households,lowest_quintile,1998,4.4,4.7,6.1
all_households,lowest_quintile,1999,4.3,4.7,6.1
all_households,lowest_quintile,2000,4.1,4.5,5.9
all_households,lowest_quintile,2001,4.2,4.6,6.1
all_households,lowest_quintile,2002,4.4,4.9,6.3
all_households,lowest_quintile,2003,4.3,4.8,6.2
all_households,lowest_quintile,2004,4.2,4.6,6.1
all_households,lowest_quintile,2005,4.1,4.6,6.0
all_households,lowest_quintile,2006,4.1,4.4,5.8
all_households,lowest_quintile,2007,4.3,4.7,6.1
all_households,lowest_quintile,2008,4.5,4.9,6.6
all_households,lowest_quintile,2009,4.6,5.0,6.7
all_households,lowest_quintile,2010,4.5,4.9,6.7
all_households,lowest_quintile,2011,4.6,5.0,6.8
all_households,lowest_quintile,2012,4.2,4.5,6.3
all_households,lowest_quintile,2013,4.5,4.8,6.7
all_households,lowest_quintile,2014,4.4,4.8,6.8
all_households,lowest_quintile,2015,4.5,5.0,7.1
all_households,lowest_quintile,2016,4.6,5.1,7.2
all_households,lowest_quintile,2017,4.3,4.9,7.0
all_households,second_quintile,1979,9.9,10.9,12.3
all_households,second_quintile,1980,9.6,10.8,12.4
all_households,second_quintile,1981,9.6,10.7,12.2
all_households,second_quintile,1982,9.2,10.4,11.8
all_households,second_quintile,1983,8.8,10.0,11.4
all_households,second_quintile,1984,9.0,10.1,11.4
all_households,second_quintile,1985,8.8,9.9,11.2
all_households,second_quintile,1986,8.3,9.4,10.7
all_households,second_quintile,1987,8.6,9.8,11.2
all_households,second_quintile,1988,8.4,9.6,11.0
all_households,second_quintile,1989,8.5,9.6,11.1
all_households,second_quintile,1990,8.7,9.8,11.2
all_households,second_quintile,1991,8.7,9.8,11.4
all_households,second_quintile,1992,8.5,9.6,11.3
all_households,second_quintile,1993,8.5,9.6,11.4
all_households,second_quintile,1994,8.5,9.6,11.5
all_households,second_quintile,1995,8.6,9.7,11.5
all_households,second_quintile,1996,8.3,9.3,11.2
all_households,second_quintile,1997,8.1,9.0,10.8
all_households,second_quintile,1998,8.1,9.0,10.8
all_households,second_quintile,1999,8.0,8.8,10.6
all_households,second_quintile,2000,7.9,8.7,10.4
all_households,second_quintile,2001,8.2,9.1,11.0
all_households,second_quintile,2002,8.4,9.4,11.2
all_households,second_quintile,2003,8.3,9.3,11.1
all_households,second_quintile,2004,8.1,9.1,10.9
all_households,second_quintile,2005,7.6,8.5,10.4
all_households,second_quintile,2006,7.6,8.5,10.3
all_households,second_quintile,2007,7.8,8.5,10.2
all_households,second_quintile,2008,8.1,9.0,10.9
all_households,second_quintile,2009,8.3,9.3,11.3
all_households,second_quintile,2010,8.1,9.0,11.1
all_households,second_quintile,2011,8.0,8.9,11.0
all_households,second_quintile,2012,7.6,8.5,10.5
all_households,second_quintile,2013,7.9,8.8,10.9
all_households,second_quintile,2014,7.7,8.6,10.9
all_households,second_quintile,2015,7.8,8.6,11.0
all_households,second_quintile,2016,8.0,8.9,11.2
all_households,second_quintile,2017,7.7,8.7,11.0
all_households,middle_quintile,1979,15.9,16.1,16.6
all_households,middle_quintile,1980,15.7,15.9,16.4
all_households,middle_quintile,1981,15.7,15.9,16.3
all_households,middle_quintile,1982,15.4,15.8,16.1
all_households,middle_quintile,1983,15.0,15.6,16.0
all_households,middle_quintile,1984,15.1,15.5,15.8
all_households,middle_quintile,1985,14.9,15.3,15.6
all_households,middle_quintile,1986,14.2,14.8,15.1
all_households,middle_quintile,1987,14.8,15.4,16.1
all_households,middle_quintile,1988,14.4,15.0,15.6
all_households,middle_quintile,1989,14.5,15.1,15.7
all_households,middle_quintile,1990,14.5,15.1,15.7
all_households,middle_quintile,1991,14.7,15.4,16.1
all_households,middle_quintile,1992,14.2,15.0,15.9
all_households,middle_quintile,1993,14.2,15.0,16.0
all_households,middle_quintile,1994,14.2,15.0,16.1
all_households,middle_quintile,1995,13.9,14.7,15.8
all_households,middle_quintile,1996,13.6,14.4,15.6
all_households,middle_quintile,1997,13.2,14.0,15.1
all_households,middle_quintile,1998,13.0,13.8,15.0
all_households,middle_quintile,1999,12.8,13.5,14.8
all_households,middle_quintile,2000,12.6,13.3,14.6
all_households,middle_quintile,2001,13.2,14.0,15.3
all_households,middle_quintile,2002,13.3,14.2,15.6
all_households,middle_quintile,2003,13.1,14.0,15.5
all_households,middle_quintile,2004,12.7,13.6,15.1
all_households,middle_quintile,2005,12.3,13.2,14.6
all_households,middle_quintile,2006,12.1,13.0,14.4
all_households,middle_quintile,2007,12.1,12.9,14.2
all_households,middle_quintile,2008,12.5,13.6,15.0
