household_type,income_group,year,all_means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,48.4,47.1,61.9,31.7,50.2
all_households,lowest_quintile,1980,44.5,42.8,58.6,27.1,45.9
all_households,lowest_quintile,1981,44.7,42.1,59.8,27.3,45.6
all_households,lowest_quintile,1982,45.7,41.4,62.1,25.4,49.1
all_households,lowest_quintile,1983,45.4,41.3,63.0,21.9,49.0
all_households,lowest_quintile,1984,44.3,40.9,59.4,26.7,47.3
all_households,lowest_quintile,1985,44.7,39.6,62.9,24.8,49.0
all_households,lowest_quintile,1986,44.3,39.8,63.0,23.2,49.6
all_households,lowest_quintile,1987,47.0,41.2,68.9,21.6,54.9
all_households,lowest_quintile,1988,43.9,38.3,67.4,17.1,51.9
all_households,lowest_quintile,1989,41.0,36.1,64.2,16.8,47.9
all_households,lowest_quintile,1990,38.8,34.3,60.4,14.9,45.6
all_households,lowest_quintile,1991,36.5,32.2,55.5,15.4,42.9
all_households,lowest_quintile,1992,31.0,28.3,49.4,12.2,35.6
all_households,lowest_quintile,1993,30.9,27.8,48.9,12.3,36.4
all_households,lowest_quintile,1994,30.8,26.9,50.6,16.9,34.6
all_households,lowest_quintile,1995,29.2,26.4,48.6,16.8,31.8
all_households,lowest_quintile,1996,27.7,25.2,45.9,17.4,29.9
all_households,lowest_quintile,1997,25.1,24.1,42.0,16.0,25.8
all_households,lowest_quintile,1998,26.1,25.1,43.0,17.1,28.1
all_households,lowest_quintile,1999,25.4,24.7,42.6,15.2,28.8
all_households,lowest_quintile,2000,25.1,24.8,43.5,15.1,26.9
all_households,lowest_quintile,2001,25.7,24.8,45.7,15.4,29.1
all_households,lowest_quintile,2002,23.0,22.7,41.7,12.8,24.5
all_households,lowest_quintile,2003,23.0,22.6,44.0,11.0,23.9
all_households,lowest_quintile,2004,23.2,22.8,45.4,11.8,21.6
all_households,lowest_quintile,2005,24.0,22.7,45.1,13.5,25.2
all_households,lowest_quintile,2006,25.1,24.9,47.0,14.9,21.5
all_households,lowest_quintile,2007,25.2,24.9,46.4,15.5,22.2
all_households,lowest_quintile,2008,24.8,24.2,43.8,15.4,22.6
all_households,lowest_quintile,2009,23.8,22.6,42.8,12.5,21.2
all_households,lowest_quintile,2010,23.8,22.5,41.0,13.7,19.8
all_households,lowest_quintile,2011,24.9,22.5,44.2,14.3,22.2
all_households,lowest_quintile,2012,26.2,23.9,46.4,15.0,23.1
all_households,lowest_quintile,2013,26.1,24.3,45.0,14.8,22.8
all_households,lowest_quintile,2014,25.8,25.4,42.2,11.6,23.0
all_households,lowest_quintile,2015,26.6,26.3,42.7,14.0,23.1
all_households,lowest_quintile,2016,26.2,26.1,43.1,12.7,22.9
all_households,lowest_quintile,2017,26.7,26.6,44.4,13.2,23.0
