household_type,income_group,year,all_federal_taxes,individual_income_tax,payroll_taxes,corporate_income_tax,excise_taxes
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,2.9,0.5,5.7,2.8,10.3
all_households,lowest_quintile,1980,2.9,0.7,5.8,2.7,10.1
all_households,lowest_quintile,1981,3.0,0.8,5.8,2.6,10.0
all_households,lowest_quintile,1982,3.0,0.8,5.6,2.5,10.1
all_households,lowest_quintile,1983,3.1,0.7,5.5,2.5,11.1
all_households,lowest_quintile,1984,3.3,0.9,5.6,2.7,11.8
all_households,lowest_quintile,1985,3.3,0.8,5.7,2.4,11.6
all_households,lowest_quintile,1986,3.0,0.7,5.4,2.2,10.5
all_households,lowest_quintile,1987,2.5,0.1,4.8,2.2,10.3
all_households,lowest_quintile,1988,2.4,-0.1,5.0,2.1,9.9
all_households,lowest_quintile,1989,2.4,-0.3,5.2,2.1,9.8
all_households,lowest_quintile,1990,2.9,0.1,5.5,2.3,10.6
all_households,lowest_quintile,1991,3.0,-0.1,5.7,2.4,10.8
all_households,lowest_quintile,1992,2.8,-0.3,5.7,2.4,10.8
all_households,lowest_quintile,1993,2.8,-0.3,5.8,2.3,11.1
all_households,lowest_quintile,1994,2.5,-1.0,5.5,2.3,11.0
all_households,lowest_quintile,1995,2.6,-1.1,6.1,2.4,11.0
all_households,lowest_quintile,1996,2.3,-1.2,6.0,2.2,11.0
all_households,lowest_quintile,1997,2.4,-1.0,6.2,2.2,11.4
all_households,lowest_quintile,1998,2.4,-1.3,6.3,2.2,11.4
all_households,lowest_quintile,1999,2.3,-1.1,6.2,2.2,11.1
all_households,lowest_quintile,2000,2.1,-1.2,6.1,2.1,10.9
all_households,lowest_quintile,2001,2.1,-1.8,5.8,2.1,11.8
all_households,lowest_quintile,2002,2.2,-2.1,6.0,2.3,12.1
all_households,lowest_quintile,2003,2.2,-2.5,5.9,2.2,12.2
all_households,lowest_quintile,2004,2.0,-2.3,5.9,2.0,10.9
all_households,lowest_quintile,2005,2.0,-2.3,6.2,2.0,12.2
all_households,lowest_quintile,2006,2.0,-2.3,6.3,1.9,12.8
all_households,lowest_quintile,2007,2.1,-2.3,6.7,2.1,12.1
all_households,lowest_quintile,2008,1.4,-4.8,6.6,2.2,13.3
all_households,lowest_quintile,2009,1.3,-5.5,6.4,2.2,13.7
all_households,lowest_quintile,2010,1.4,-4.8,6.5,2.1,14.5
all_households,lowest_quintile,2011,1.6,-3.6,6.6,2.1,14.7
all_households,lowest_quintile,2012,1.4,-3.1,6.2,1.9,13.7
all_households,lowest_quintile,2013,1.8,-3.1,6.5,2.1,14.3
all_households,lowest_quintile,2014,1.8,-2.8,6.5,2.0,13.3
all_households,lowest_quintile,2015,1.8,-2.8,6.6,2.1,13.1
all_households,lowest_quintile,2016,1.9,-2.6,6.7,2.1,13.1
