household_type,income_group,year,num_households,num_people,num_children,num_adults,num_elderly
all_households,all_quintiles,1979,81.1,221.9,64.8,133.0,24.2
all_households,all_quintiles,1980,82.6,224.5,64.5,135.2,24.7
all_households,all_quintiles,1981,83.8,226.0,63.9,136.8,25.3
all_households,all_quintiles,1982,84.3,227.6,63.2,138.5,25.8
all_households,all_quintiles,1983,85.8,229.4,63.3,140.0,26.1
all_households,all_quintiles,1984,87.2,231.3,63.2,141.4,26.6
all_households,all_quintiles,1985,88.8,234.6,64.2,143.2,27.2
all_households,all_quintiles,1986,89.9,237.1,64.4,144.8,27.9
all_households,all_quintiles,1987,91.4,239.8,65.2,146.1,28.5
all_households,all_quintiles,1988,93.1,241.7,65.1,147.7,28.9
all_households,all_quintiles,1989,93.6,243.9,65.7,148.9,29.2
all_households,all_quintiles,1990,94.6,246.7,67.1,149.8,29.9
all_households,all_quintiles,1991,96.0,249.0,67.2,151.4,30.4
all_households,all_quintiles,1992,96.3,250.4,68.4,151.7,30.3
all_households,all_quintiles,1993,97.3,255.0,71.1,153.1,30.7
all_households,all_quintiles,1994,99.1,257.8,71.5,155.0,31.3
all_households,all_quintiles,1995,99.7,258.6,71.3,155.8,31.5
all_households,all_quintiles,1996,101.1,261.9,72.0,158.4,31.6
all_households,all_quintiles,1997,102.6,264.2,72.4,160.0,31.8
all_households,all_quintiles,1998,104.0,266.3,72.0,162.2,32.2
all_households,all_quintiles,1999,104.8,269.6,72.0,165.1,32.4
all_households,all_quintiles,2000,108.3,276.5,73.4,169.5,33.7
all_households,all_quintiles,2001,109.4,277.8,73.5,170.5,33.8
all_households,all_quintiles,2002,111.4,282.1,74.2,173.9,34.0
all_households,all_quintiles,2003,112.1,284.0,74.7,174.6,34.7
all_households,all_quintiles,2004,113.3,288.0,76.1,176.6,35.3
all_households,all_quintiles,2005,114.5,289.3,75.1,178.5,35.7
all_households,all_quintiles,2006,116.1,292.7,75.5,181.1,36.2
all_households,all_quintiles,2007,116.9,292.9,74.4,181.8,36.7
all_households,all_quintiles,2008,117.3,295.1,74.2,183.2,37.7
all_households,all_quintiles,2009,117.6,298.0,73.9,185.4,38.6
all_households,all_quintiles,2010,120.0,301.4,73.5,188.3,39.7
all_households,all_quintiles,2011,121.2,302.5,72.9,188.0,41.6
all_households,all_quintiles,2012,122.5,305.8,73.5,188.9,43.4
all_households,all_quintiles,2013,123.1,306.0,72.4,189.0,44.6
all_households,all_quintiles,2014,124.7,310.4,73.7,190.7,46.1
all_households,all_quintiles,2015,126.1,311.5,72.7,191.2,47.6
all_households,all_quintiles,2016,126.5,311.9,71.7,190.7,49.5
all_households,all_quintiles,2017,127.7,315.2,72.4,191.3,51.5
all_households,lowest_quintile,1979,17.5,43.4,15.8,20.1,7.6
all_households,lowest_quintile,1980,17.6,43.5,15.7,20.8,7.0
all_households,lowest_quintile,1981,17.3,43.6,15.8,21.4,6.3
all_households,lowest_quintile,1982,16.9,43.9,16.2,22.6,5.2
all_households,lowest_quintile,1983,16.7,44.2,16.8,22.9,4.5
all_households,lowest_quintile,1984,17.8,44.6,16.1,23.6,4.9
all_households,lowest_quintile,1985,17.7,45.2,16.7,23.6,4.9
all_households,lowest_quintile,1986,18.0,46.1,17.0,24.3,4.7
all_households,lowest_quintile,1987,17.7,46.7,18.4,23.5,4.8
all_households,lowest_quintile,1988,17.9,47.1,18.4,23.7,5.0
all_households,lowest_quintile,1989,17.8,47.6,18.7,23.9,5.0
all_households,lowest_quintile,1990,18.2,48.1,18.9,24.1,5.1
all_households,lowest_quintile,1991,18.2,48.5,19.1,24.6,4.8
all_households,lowest_quintile,1992,17.8,48.9,19.7,25.0,4.3
all_households,lowest_quintile,1993,17.8,49.8,20.4,25.4,3.9
all_households,lowest_quintile,1994,18.3,50.4,20.6,25.7,4.2
all_households,lowest_quintile,1995,18.9,50.9,19.9,26.8,4.1
all_households,lowest_quintile,1996,18.9,51.5,20.1,27.6,3.7
all_households,lowest_quintile,1997,19.5,51.7,19.8,28.0,4.0
all_households,lowest_quintile,1998,20.0,52.2,19.7,28.3,4.2
all_households,lowest_quintile,1999,20.4,52.9,19.2,29.1,4.7
all_households,lowest_quintile,2000,21.0,54.4,19.9,29.7,4.8
all_households,lowest_quintile,2001,21.1,54.5,19.7,30.2,4.6
all_households,lowest_quintile,2002,21.3,55.0,20.1,30.8,4.1
all_households,lowest_quintile,2003,21.5,55.5,19.9,31.3,4.3
all_households,lowest_quintile,2004,21.8,56.3,20.0,32.1,4.3
all_households,lowest_quintile,2005,22.2,56.6,19.9,32.4,4.4
all_households,lowest_quintile,2006,21.8,57.3,20.7,32.9,3.7
all_households,lowest_quintile,2007,22.7,57.3,20.2,33.0,4.1
all_households,lowest_quintile,2008,22.5,57.5,20.0,33.3,4.2
all_households,lowest_quintile,2009,21.6,57.9,20.5,34.1,3.3
all_households,lowest_quintile,2010,22.3,58.7,20.7,35.0,3.0
all_households,lowest_quintile,2011,22.9,59.0,20.4,34.9,3.8
all_households,lowest_quintile,2012,23.0,59.8,20.5,35.7,3.6
all_households,lowest_quintile,2013,23.2,59.9,20.1,35.9,3.9
all_households,lowest_quintile,2014,23.7,60.7,20.9,35.3,4.5
all_households,lowest_quintile,2015,24.3,61.0,20.8,35.6,4.6
all_households,lowest_quintile,2016,24.8,61.1,20.1,35.5,5.5
all_households,lowest_quintile,2017,24.8,61.7,20.8,34.8,6.0
all_households,second_quintile,1979,16.2,44.4,14.5,23.8,6.1
all_households,second_quintile,1980,16.4,44.9,14.4,24.3,6.2
all_households,second_quintile,1981,16.7,45.2,14.3,24.6,6.2
all_households,second_quintile,1982,16.8,45.5,14.1,24.7,6.7
all_households,second_quintile,1983,17.3,45.9,14.1,25.0,6.7
all_households,second_quintile,1984,17.4,46.2,14.0,25.8,6.5
all_households,second_quintile,1985,17.7,46.9,14.5,26.1,6.4
all_households,second_quintile,1986,18.0,47.4,14.5,26.1,6.9
all_households,second_quintile,1987,18.7,48.0,14.0,26.4,7.6
all_households,second_quintile,1988,19.1,48.4,13.9,26.7,7.7
all_households,second_quintile,1989,19.3,48.8,13.9,27.3,7.6
all_households,second_quintile,1990,19.2,49.3,14.4,27.5,7.4
all_households,second_quintile,1991,19.5,49.8,14.5,27.9,7.4
all_households,second_quintile,1992,19.9,50.1,14.5,27.6,7.9
all_households,second_quintile,1993,20.2,51.0,14.8,27.8,8.4
all_households,second_quintile,1994,20.5,51.6,15.0,28.1,8.5
all_households,second_quintile,1995,20.3,51.7,15.2,28.4,8.1
all_households,second_quintile,1996,20.8,52.4,15.6,29.0,7.8
all_households,second_quintile,1997,20.6,52.8,16.1,29.2,7.5
all_households,second_quintile,1998,20.7,53.3,16.0,29.6,7.7
all_households,second_quintile,1999,20.7,53.9,16.0,30.5,7.5
all_households,second_quintile,2000,21.6,55.3,16.0,31.7,7.6
all_households,second_quintile,2001,21.8,55.6,16.4,31.2,8.0
all_households,second_quintile,2002,22.5,56.4,16.1,32.2,8.1
all_households,second_quintile,2003,22.8,56.8,16.4,31.9,8.5
all_households,second_quintile,2004,23.2,57.6,16.6,32.3,8.7
all_households,second_quintile,2005,23.4,57.9,16.5,32.9,8.4
all_households,second_quintile,2006,23.8,58.5,16.6,33.6,8.4
all_households,second_quintile,2007,23.8,58.6,16.7,34.1,7.8
all_households,second_quintile,2008,24.1,59.0,16.1,34.7,8.2
all_households,second_quintile,2009,24.3,59.6,16.0,35.2,8.4
all_households,second_quintile,2010,24.9,60.3,15.7,36.0,8.5
all_households,second_quintile,2011,25.1,60.5,15.5,36.1,8.9
all_households,second_quintile,2012,25.2,61.2,16.1,35.9,9.1
all_households,second_quintile,2013,25.4,61.2,15.7,36.0,9.5
all_households,second_quintile,2014,26.0,62.1,15.8,36.4,9.8
all_households,second_quintile,2015,26.1,62.3,15.6,36.4,10.4
all_households,second_quintile,2016,26.1,62.4,15.4,36.5,10.5
all_households,second_quintile,2017,26.4,63.0,15.4,36.5,11.1
all_households,middle_quintile,1979,15.1,44.4,14.4,26.3,3.7
all_households,middle_quintile,1980,15.4,44.9,14.4,26.5,3.9
all_households,middle_quintile,1981,15.9,45.2,14.0,26.9,4.3
all_households,middle_quintile,1982,16.0,45.5,13.8,27.1,4.7
all_households,middle_quintile,1983,16.5,45.9,13.4,27.4,5.0
all_households,middle_quintile,1984,16.6,46.3,13.6,27.5,5.1
all_households,middle_quintile,1985,17.0,46.9,13.5,28.0,5.5
all_households,middle_quintile,1986,17.4,47.4,13.4,28.1,5.9
all_households,middle_quintile,1987,18.0,48.0,13.4,28.3,6.3
all_households,middle_quintile,1988,18.1,48.3,13.5,28.8,6.1
all_households,middle_quintile,1989,18.4,48.8,13.4,29.1,6.3
all_households,middle_quintile,1990,18.4,49.3,13.8,29.2,6.4
all_households,middle_quintile,1991,19.0,49.8,13.4,29.5,6.9
all_households,middle_quintile,1992,19.1,50.1,13.6,29.7,6.8
all_households,middle_quintile,1993,19.3,51.0,14.1,30.1,6.8
all_households,middle_quintile,1994,19.8,51.6,14.1,30.2,7.3
all_households,middle_quintile,1995,19.7,51.7,14.2,30.4,7.2
all_households,middle_quintile,1996,20.0,52.4,14.3,31.0,7.1
all_households,middle_quintile,1997,20.3,52.8,14.3,31.6,6.9
all_households,middle_quintile,1998,20.7,53.3,14.2,31.7,7.3
all_households,middle_quintile,1999,20.7,53.9,14.5,31.9,7.5
all_households,middle_quintile,2000,21.5,55.3,14.4,33.0,7.9
all_households,middle_quintile,2001,21.7,55.6,14.4,33.1,8.1
all_households,middle_quintile,2002,22.1,56.4,14.5,33.4,8.4
all_households,middle_quintile,2003,22.4,56.8,14.5,33.7,8.6
all_households,middle_quintile,2004,22.5,57.6,15.1,34.0,8.5
all_households,middle_quintile,2005,22.6,57.9,14.7,34.8,8.4
all_households,middle_quintile,2006,23.4,58.5,14.4,35.3,8.8
all_households,middle_quintile,2007,23.2,58.6,14.1,35.9,8.6
all_households,middle_quintile,2008,23.4,59.0,14.1,35.9,9.0
all_households,middle_quintile,2009,23.7,59.6,13.7,36.3,9.6
all_households,middle_quintile,2010,24.3,60.3,13.6,36.8,9.9
all_households,middle_quintile,2011,24.4,60.5,13.4,36.7,10.4
all_households,middle_quintile,2012,24.8,61.2,13.5,37.0,10.7
all_households,middle_quintile,2013,24.9,61.2,13.4,37.4,10.4
all_households,middle_quintile,2014,24.8,62.1,13.8,37.8,10.5
all_households,middle_quintile,2015,25.2,62.3,13.3,38.0,11.0
all_households,middle_quintile,2016,25.1,62.4,13.3,37.8,11.3
all_households,middle_quintile,2017,25.4,63.0,13.3,38.0,11.7
all_households,fourth_quintile,1979,15.5,44.4,12.0,29.4,3.0
all_households,fourth_quintile,1980,15.8,44.9,11.8,29.8,3.4
all_households,fourth_quintile,1981,15.9,45.2,11.7,29.6,3.8
all_households,fourth_quintile,1982,16.2,45.5,11.3,29.9,4.3
all_households,fourth_quintile,1983,16.8,45.9,11.0,30.2,4.7
all_households,fourth_quintile,1984,17.0,46.3,11.3,30.0,5.0
all_households,fourth_quintile,1985,17.3,46.9,11.2,30.6,5.1
all_households,fourth_quintile,1986,17.5,47.4,11.2,30.9,5.3
all_households,fourth_quintile,1987,17.9,48.0,11.3,31.6,5.1
all_households,fourth_quintile,1988,18.4,48.3,11.2,32.1,5.1
all_households,fourth_quintile,1989,18.5,48.8,11.4,32.1,5.3
all_households,fourth_quintile,1990,18.8,49.3,11.4,32.4,5.6
all_households,fourth_quintile,1991,18.9,49.8,11.5,32.5,5.8
all_households,fourth_quintile,1992,19.0,50.1,11.7,32.5,5.9
all_households,fourth_quintile,1993,19.3,51.0,12.3,32.7,6.1
all_households,fourth_quintile,1994,19.6,51.6,12.2,33.5,5.9
all_households,fourth_quintile,1995,19.8,51.7,12.2,33.3,6.2
all_households,fourth_quintile,1996,20.1,52.4,12.3,33.5,6.5
all_households,fourth_quintile,1997,20.3,52.8,12.4,33.6,6.8
all_households,fourth_quintile,1998,20.6,53.3,12.1,34.7,6.5
all_households,fourth_quintile,1999,20.9,53.9,12.2,35.2,6.5
all_households,fourth_quintile,2000,21.5,55.3,12.4,36.1,6.8
all_households,fourth_quintile,2001,21.9,55.6,12.3,36.2,7.1
all_households,fourth_quintile,2002,22.2,56.4,12.4,36.6,7.4
all_households,fourth_quintile,2003,22.2,56.8,12.8,36.6,7.3
all_households,fourth_quintile,2004,22.3,57.6,13.0,37.1,7.5
all_households,fourth_quintile,2005,22.6,57.9,12.9,37.5,7.5
all_households,fourth_quintile,2006,23.1,58.5,12.6,38.1,7.9
all_households,fourth_quintile,2007,23.0,58.6,12.5,37.8,8.3
all_households,fourth_quintile,2008,23.1,59.0,12.5,37.9,8.6
all_households,fourth_quintile,2009,23.5,59.6,12.3,37.8,9.4
all_households,fourth_quintile,2010,23.9,60.3,12.2,38.3,9.8
