household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,17900,29400,40600,56700,56700,72500,91500,175800
1,1980,0,17200,28500,39600,55600,55600,71600,89600,172800
1,1981,0,17000,28500,40000,56200,56200,71900,90800,171300
1,1982,0,16600,28000,39700,56300,56300,72500,90400,171700
1,1983,0,16100,27800,39800,57000,57000,73700,93200,179500
1,1984,0,17400,29400,42000,60300,60300,78800,99600,195400
1,1985,0,17300,29500,42300,60500,60500,79100,100900,201100
1,1986,0,17300,30200,43300,62900,62900,82300,106700,232600
1,1987,0,16900,30100,43900,63700,63700,83500,106700,218800
1,1988,0,17300,30700,44600,64900,64900,85300,109700,233300
1,1989,0,17600,31100,45100,65700,65700,86500,111700,235100
1,1990,0,18200,31400,45100,65200,65200,85500,110500,227500
1,1991,0,18000,30900,44800,64200,64200,84700,109300,223800
1,1992,0,17600,30900,45200,64900,64900,85800,111700,234200
1,1993,0,17800,31000,45200,65500,65500,86700,112800,230000
1,1994,0,18000,31200,45900,66600,66600,87900,114700,237400
1,1995,0,19000,32400,47000,68400,68400,90800,119700,254200
1,1996,0,18800,32900,48000,70100,70100,94000,123500,269300
1,1997,0,19600,33700,49200,72000,72000,97400,129800,288600
1,1998,0,20600,35000,51100,75100,75100,101500,136700,310500
1,1999,0,21200,36000,52400,77400,77400,105500,141400,333000
1,2000,0,21400,36400,53200,79000,79000,108200,146300,345600
1,2001,0,21200,36200,53000,78600,78600,106100,141500,313300
1,2002,0,20800,35400,52000,77000,77000,103900,138500,298500
1,2003,0,20700,35200,52300,78200,78200,105600,140800,305400
1,2004,0,21200,36300,53600,80400,80400,109000,145900,332000
1,2005,0,21500,36900,54800,82100,82100,112700,154100,372700
1,2006,0,22200,37600,56000,84400,84400,116400,159700,393100
1,2007,0,23400,39100,57600,86300,86300,119000,163400,404900
1,2008,0,22700,37900,56100,84000,84000,115000,156100,359200
1,2009,0,21700,36900,54900,82400,82400,112300,150000,316600
1,2010,0,21500,36600,54900,82400,82400,112800,152100,334900
1,2011,0,21700,36400,54500,82800,82800,114400,153900,342200
1,2012,0,21300,36200,54800,83600,83600,116000,158500,374100
1,2013,0,21800,37000,56100,85400,85400,118400,161700,367600
1,2014,0,21800,37400,56600,87300,87300,121200,166900,385700
1,2015,0,22900,38900,58800,90300,90300,125600,171800,402200
1,2016,0,23400,39400,58800,90700,90700,126200,172300,392700
1,2017,0,23600,39700,59900,92400,92400,129300,179100,409100
2,1979,0,25400,41600,57500,80200,80200,102500,129400,248600
2,1980,0,24300,40300,55900,78600,78600,101200,126700,244300
2,1981,0,24100,40300,56500,79400,79400,101700,128400,242200
2,1982,0,23500,39600,56100,79700,79700,102500,127900,242800
2,1983,0,22800,39400,56300,80600,80600,104300,131800,253900
2,1984,0,24500,41600,59400,85300,85300,111400,140900,276400
2,1985,0,24400,41800,59800,85600,85600,111900,142700,284500
2,1986,0,24500,42700,61300,88900,88900,116400,150900,329000
2,1987,0,24000,42600,62100,90100,90100,118100,150900,309400
2,1988,0,24500,43400,63100,91800,91800,120600,155100,330000
2,1989,0,24900,43900,63800,92900,92900,122300,157900,332400
2,1990,0,25800,44500,63700,92200,92200,120900,156300,321700
2,1991,0,25500,43700,63400,90800,90800,119800,154600,316500
