household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1980,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1981,1600.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1982,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1983,1600.0,500.0,300.0,200.0,600.0
all_households,all_quintiles,1984,1600.0,500.0,300.0,200.0,600.0
all_households,all_quintiles,1985,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1986,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1987,1600.0,600.0,200.0,300.0,600.0
all_households,all_quintiles,1988,1600.0,600.0,200.0,300.0,600.0
all_households,all_quintiles,1989,1700.0,600.0,200.0,300.0,600.0
all_households,all_quintiles,1990,1900.0,700.0,300.0,300.0,600.0
all_households,all_quintiles,1991,2100.0,900.0,300.0,300.0,700.0
all_households,all_quintiles,1992,2400.0,1000.0,300.0,400.0,700.0
all_households,all_quintiles,1993,2500.0,1100.0,400.0,400.0,700.0
all_households,all_quintiles,1994,2600.0,1100.0,300.0,400.0,700.0
all_households,all_quintiles,1995,2700.0,1200.0,300.0,400.0,700.0
all_households,all_quintiles,1996,2600.0,1200.0,300.0,400.0,700.0
all_households,all_quintiles,1997,2500.0,1200.0,300.0,400.0,600.0
all_households,all_quintiles,1998,2600.0,1400.0,200.0,400.0,600.0
all_households,all_quintiles,1999,2600.0,1500.0,200.0,400.0,500.0
all_households,all_quintiles,2000,2700.0,1600.0,200.0,400.0,500.0
all_households,all_quintiles,2001,2900.0,1800.0,200.0,400.0,500.0
all_households,all_quintiles,2002,3200.0,2000.0,200.0,400.0,500.0
all_households,all_quintiles,2003,3400.0,2200.0,300.0,400.0,500.0
all_households,all_quintiles,2004,3600.0,2400.0,300.0,400.0,500.0
all_households,all_quintiles,2005,3600.0,2400.0,300.0,400.0,500.0
all_households,all_quintiles,2006,3500.0,2200.0,300.0,400.0,600.0
all_households,all_quintiles,2007,3600.0,2300.0,300.0,400.0,600.0
all_households,all_quintiles,2008,3800.0,2400.0,400.0,400.0,600.0
