household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,2.2,0.6,0.4,0.3,0.8
all_households,all_quintiles,1980,2.3,0.7,0.4,0.4,0.9
all_households,all_quintiles,1981,2.4,0.7,0.5,0.3,0.9
all_households,all_quintiles,1982,2.3,0.7,0.4,0.3,0.9
all_households,all_quintiles,1983,2.4,0.7,0.4,0.3,0.9
all_households,all_quintiles,1984,2.2,0.7,0.4,0.3,0.9
all_households,all_quintiles,1985,2.2,0.7,0.3,0.3,0.9
all_households,all_quintiles,1986,2.1,0.7,0.3,0.3,0.8
all_households,all_quintiles,1987,2.2,0.8,0.3,0.3,0.8
all_households,all_quintiles,1988,2.2,0.8,0.3,0.3,0.8
all_households,all_quintiles,1989,2.3,0.8,0.3,0.3,0.8
all_households,all_quintiles,1990,2.5,1.0,0.3,0.4,0.8
all_households,all_quintiles,1991,2.9,1.2,0.4,0.4,0.9
all_households,all_quintiles,1992,3.1,1.3,0.5,0.5,0.9
all_households,all_quintiles,1993,3.3,1.4,0.5,0.5,0.9
all_households,all_quintiles,1994,3.3,1.5,0.4,0.5,0.9
all_households,all_quintiles,1995,3.3,1.5,0.4,0.5,0.9
all_households,all_quintiles,1996,3.0,1.4,0.4,0.5,0.8
all_households,all_quintiles,1997,2.8,1.4,0.3,0.4,0.7
all_households,all_quintiles,1998,2.8,1.5,0.2,0.4,0.6
all_households,all_quintiles,1999,2.7,1.5,0.2,0.4,0.5
all_households,all_quintiles,2000,2.7,1.6,0.2,0.4,0.5
all_households,all_quintiles,2001,3.0,1.9,0.2,0.4,0.5
all_households,all_quintiles,2002,3.5,2.2,0.2,0.4,0.5
all_households,all_quintiles,2003,3.7,2.4,0.3,0.4,0.6
all_households,all_quintiles,2004,3.6,2.4,0.3,0.4,0.5
all_households,all_quintiles,2005,3.5,2.3,0.3,0.4,0.5
all_households,all_quintiles,2006,3.3,2.1,0.3,0.4,0.5
all_households,all_quintiles,2007,3.3,2.1,0.3,0.4,0.5
all_households,all_quintiles,2008,3.7,2.4,0.3,0.4,0.6
all_households,all_quintiles,2009,4.4,2.8,0.5,0.5,0.7
all_households,all_quintiles,2010,4.5,2.8,0.6,0.5,0.7
all_households,all_quintiles,2011,4.5,2.7,0.7,0.5,0.7
all_households,all_quintiles,2012,4.3,2.6,0.6,0.4,0.6
all_households,all_quintiles,2013,4.4,2.7,0.6,0.5,0.6
all_households,all_quintiles,2014,4.9,3.3,0.5,0.4,0.6
all_households,all_quintiles,2015,5.1,3.6,0.5,0.4,0.6
all_households,all_quintiles,2016,5.3,3.7,0.5,0.4,0.7
all_households,all_quintiles,2017,5.1,3.6,0.5,0.4,0.6
all_households,lowest_quintile,1979,31.8,9.0,5.8,4.7,12.2
all_households,lowest_quintile,1980,35.5,9.9,6.8,5.4,13.4
all_households,lowest_quintile,1981,37.0,10.3,7.5,5.2,14.0
all_households,lowest_quintile,1982,40.1,11.3,7.7,5.5,15.6
all_households,lowest_quintile,1983,44.6,12.7,8.4,5.8,17.7
all_households,lowest_quintile,1984,38.7,11.3,6.6,5.3,15.5
all_households,lowest_quintile,1985,41.3,12.3,6.7,5.5,16.9
all_households,lowest_quintile,1986,42.1,13.1,6.6,5.6,16.8
all_households,lowest_quintile,1987,46.0,14.9,6.9,6.3,17.8
all_households,lowest_quintile,1988,45.0,14.9,6.7,6.2,17.1
all_households,lowest_quintile,1989,45.3,15.9,6.7,6.0,16.8
all_households,lowest_quintile,1990,47.2,17.2,7.1,5.8,17.1
all_households,lowest_quintile,1991,51.5,19.6,8.2,6.4,17.3
all_households,lowest_quintile,1992,56.1,22.3,8.9,7.6,17.3
all_households,lowest_quintile,1993,60.2,24.1,9.1,8.0,18.9
all_households,lowest_quintile,1994,60.7,24.2,9.2,8.4,18.9
all_households,lowest_quintile,1995,55.0,22.5,7.8,7.8,16.8
all_households,lowest_quintile,1996,54.2,22.8,7.5,8.4,15.5
all_households,lowest_quintile,1997,47.8,21.4,5.8,7.5,13.2
all_households,lowest_quintile,1998,45.7,22.3,4.7,7.1,11.5
all_households,lowest_quintile,1999,42.9,22.5,4.1,6.5,9.9
all_households,lowest_quintile,2000,43.8,24.4,3.8,6.5,9.3
all_households,lowest_quintile,2001,47.9,27.4,4.1,6.9,9.4
all_households,lowest_quintile,2002,51.2,30.2,4.5,6.7,9.8
all_households,lowest_quintile,2003,54.8,32.6,5.3,6.7,10.2
all_households,lowest_quintile,2004,55.3,33.6,5.7,6.4,9.7
all_households,lowest_quintile,2005,53.9,32.0,6.1,6.4,9.6
all_households,lowest_quintile,2006,50.7,29.2,5.8,6.1,9.7
all_households,lowest_quintile,2007,46.6,26.9,5.3,5.6,8.8
all_households,lowest_quintile,2008,49.5,28.9,6.0,5.7,8.8
all_households,lowest_quintile,2009,58.7,32.9,9.4,6.7,9.8
all_households,lowest_quintile,2010,63.2,35.1,10.6,7.0,10.5
all_households,lowest_quintile,2011,59.7,32.1,10.9,6.6,10.2
all_households,lowest_quintile,2012,62.9,34.5,11.7,7.1,9.6
all_households,lowest_quintile,2013,62.6,35.6,10.7,7.4,8.9
all_households,lowest_quintile,2014,72.3,45.6,9.8,7.0,9.9
all_households,lowest_quintile,2015,71.9,46.4,9.0,6.7,9.8
all_households,lowest_quintile,2016,71.7,46.7,8.4,6.4,10.1
all_households,lowest_quintile,2017,69.8,46.1,8.1,5.9,9.7
all_households,second_quintile,1979,2.4,0.7,0.4,0.4,0.9
all_households,second_quintile,1980,2.8,0.8,0.6,0.4,1.0
all_households,second_quintile,1981,3.1,0.9,0.7,0.4,1.1
all_households,second_quintile,1982,2.9,0.9,0.5,0.4,1.0
all_households,second_quintile,1983,2.8,0.9,0.5,0.4,1.0
all_households,second_quintile,1984,2.7,0.9,0.4,0.4,1.0
all_households,second_quintile,1985,2.7,0.9,0.4,0.4,1.0
all_households,second_quintile,1986,3.0,1.1,0.3,0.6,1.0
all_households,second_quintile,1987,2.9,1.1,0.3,0.5,1.0
all_households,second_quintile,1988,2.8,1.1,0.3,0.5,0.9
all_households,second_quintile,1989,3.1,1.2,0.3,0.6,0.9
all_households,second_quintile,1990,3.5,1.6,0.4,0.6,1.0
all_households,second_quintile,1991,4.3,2.0,0.5,0.7,1.1
all_households,second_quintile,1992,5.5,2.6,0.8,0.9,1.3
all_households,second_quintile,1993,5.9,2.8,0.8,1.0,1.4
all_households,second_quintile,1994,6.0,3.0,0.7,0.9,1.4
all_households,second_quintile,1995,6.3,3.2,0.7,1.0,1.3
all_households,second_quintile,1996,5.9,3.0,0.7,0.9,1.3
all_households,second_quintile,1997,5.8,3.2,0.5,0.9,1.1
all_households,second_quintile,1998,6.1,3.8,0.4,0.9,1.0
all_households,second_quintile,1999,6.0,4.0,0.4,0.8,0.8
all_households,second_quintile,2000,6.4,4.3,0.3,0.8,0.9
all_households,second_quintile,2001,7.2,5.1,0.4,0.8,0.9
all_households,second_quintile,2002,8.3,5.9,0.5,0.9,1.0
all_households,second_quintile,2003,9.2,6.6,0.5,1.0,1.1
all_households,second_quintile,2004,9.7,7.1,0.6,0.9,1.1
all_households,second_quintile,2005,9.3,6.7,0.7,0.8,1.0
all_households,second_quintile,2006,9.5,6.5,0.6,0.9,1.5
all_households,second_quintile,2007,9.0,6.2,0.6,0.9,1.4
all_households,second_quintile,2008,10.5,7.3,0.8,0.9,1.5
all_households,second_quintile,2009,12.6,8.3,1.3,1.1,1.9
all_households,second_quintile,2010,13.3,8.5,1.7,1.1,2.1
all_households,second_quintile,2011,13.6,8.6,1.8,1.1,2.0
all_households,second_quintile,2012,13.7,8.8,1.8,1.1,2.0
all_households,second_quintile,2013,13.4,8.7,1.8,1.0,1.9
all_households,second_quintile,2014,15.3,10.7,1.5,1.1,2.0
all_households,second_quintile,2015,15.4,11.1,1.4,1.0,1.9
all_households,second_quintile,2016,15.3,11.2,1.2,0.9,2.0
all_households,second_quintile,2017,15.3,11.3,1.1,0.9,2.0
all_households,middle_quintile,1979,0.8,0.3,0.1,0.2,0.3
all_households,middle_quintile,1980,0.8,0.2,0.1,0.1,0.3
all_households,middle_quintile,1981,0.8,0.3,0.1,0.1,0.3
all_households,middle_quintile,1982,0.6,0.2,0.1,0.1,0.2
all_households,middle_quintile,1983,0.7,0.2,0.1,0.2,0.2
all_households,middle_quintile,1984,0.7,0.2,0.1,0.2,0.2
all_households,middle_quintile,1985,0.7,0.2,0.0,0.2,0.2
all_households,middle_quintile,1986,0.7,0.3,0.1,0.2,0.2
all_households,middle_quintile,1987,0.6,0.3,0.0,0.2,0.2
all_households,middle_quintile,1988,0.7,0.3,0.0,0.2,0.2
all_households,middle_quintile,1989,0.7,0.3,0.0,0.2,0.2
all_households,middle_quintile,1990,0.8,0.4,0.1,0.2,0.2
all_households,middle_quintile,1991,1.1,0.5,0.1,0.2,0.2
