household_type,income_group,year,all_means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,74.3,72.2,79.2,71.1,74.9
all_households,lowest_quintile,1980,74.7,73.3,78.0,73.9,74.5
all_households,lowest_quintile,1981,73.3,71.1,75.6,70.5,75.1
all_households,lowest_quintile,1982,76.0,72.3,80.9,71.4,78.2
all_households,lowest_quintile,1983,76.9,74.7,81.7,70.6,78.6
all_households,lowest_quintile,1984,75.4,73.6,79.0,69.6,77.5
all_households,lowest_quintile,1985,76.5,73.9,81.8,69.0,79.3
all_households,lowest_quintile,1986,75.9,72.9,83.8,66.9,79.0
all_households,lowest_quintile,1987,76.6,73.2,85.7,67.7,80.2
all_households,lowest_quintile,1988,76.4,72.6,85.6,69.0,79.8
all_households,lowest_quintile,1989,75.4,71.8,84.2,66.0,79.8
all_households,lowest_quintile,1990,73.9,69.8,82.4,63.0,79.9
all_households,lowest_quintile,1991,71.8,67.8,79.0,62.8,77.7
all_households,lowest_quintile,1992,69.2,65.0,74.8,62.8,75.8
all_households,lowest_quintile,1993,68.5,64.2,74.8,61.5,75.7
all_households,lowest_quintile,1994,68.1,61.8,76.4,64.2,76.0
all_households,lowest_quintile,1995,66.7,60.4,75.2,62.9,75.5
all_households,lowest_quintile,1996,67.1,60.9,75.3,65.6,75.1
all_households,lowest_quintile,1997,66.4,59.7,75.8,65.5,77.0
all_households,lowest_quintile,1998,65.2,58.5,77.9,65.9,76.8
all_households,lowest_quintile,1999,63.7,57.6,77.2,63.2,77.3
all_households,lowest_quintile,2000,62.1,56.5,76.6,64.2,74.3
all_households,lowest_quintile,2001,61.6,55.9,78.3,65.3,73.6
all_households,lowest_quintile,2002,59.4,54.1,74.2,62.0,72.9
all_households,lowest_quintile,2003,58.4,52.8,74.5,61.2,72.4
all_households,lowest_quintile,2004,57.2,52.0,72.9,58.7,72.1
all_households,lowest_quintile,2005,57.3,51.4,73.1,61.0,72.4
all_households,lowest_quintile,2006,55.8,50.5,74.3,59.0,64.2
all_households,lowest_quintile,2007,55.4,50.2,73.1,58.9,63.8
all_households,lowest_quintile,2008,54.1,49.2,70.2,57.6,62.3
all_households,lowest_quintile,2009,52.2,46.8,67.6,57.1,58.9
all_households,lowest_quintile,2010,53.0,48.2,64.2,58.9,58.7
all_households,lowest_quintile,2011,52.5,47.1,64.6,57.4,58.8
all_households,lowest_quintile,2012,52.6,47.4,65.9,58.0,57.0
all_households,lowest_quintile,2013,53.5,49.1,64.1,61.5,56.4
all_households,lowest_quintile,2014,52.3,48.9,63.7,58.3,56.4
all_households,lowest_quintile,2015,52.0,48.4,64.5,59.9,56.5
all_households,lowest_quintile,2016,51.9,48.3,65.8,60.0,56.7
all_households,lowest_quintile,2017,51.1,47.6,66.1,57.2,56.7
