household_type,income_group,year,all_federal_taxes,individual_income_tax,payroll_taxes,corporate_income_tax,excise_taxes
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,2.1,-0.1,4.4,2.2,9.9
all_households,lowest_quintile,1980,2.0,0.0,4.3,2.1,9.7
all_households,lowest_quintile,1981,2.0,0.2,4.2,2.1,9.5
all_households,lowest_quintile,1982,2.1,0.2,4.1,2.1,9.6
all_households,lowest_quintile,1983,2.2,0.2,4.0,2.0,10.8
all_households,lowest_quintile,1984,2.5,0.3,4.3,2.2,11.7
all_households,lowest_quintile,1985,2.3,0.2,4.1,1.9,11.2
all_households,lowest_quintile,1986,2.1,0.2,4.0,1.8,10.2
all_households,lowest_quintile,1987,1.8,-0.3,3.6,1.8,10.1
all_households,lowest_quintile,1988,1.7,-0.5,3.6,1.6,9.7
all_households,lowest_quintile,1989,1.7,-0.7,3.8,1.7,9.6
all_households,lowest_quintile,1990,1.9,-0.5,4.0,1.7,10.5
all_households,lowest_quintile,1991,1.9,-0.8,4.1,1.9,10.6
all_households,lowest_quintile,1992,1.8,-1.0,4.0,1.7,10.4
all_households,lowest_quintile,1993,1.7,-1.2,4.0,1.7,10.9
all_households,lowest_quintile,1994,1.4,-1.9,3.9,1.6,10.8
all_households,lowest_quintile,1995,1.3,-2.2,4.3,1.7,10.8
all_households,lowest_quintile,1996,1.1,-2.2,4.2,1.6,10.8
all_households,lowest_quintile,1997,1.2,-2.2,4.4,1.5,11.3
all_households,lowest_quintile,1998,1.2,-2.2,4.6,1.6,11.1
all_households,lowest_quintile,1999,1.2,-1.9,4.5,1.6,11.0
all_households,lowest_quintile,2000,1.1,-2.0,4.5,1.5,10.8
all_households,lowest_quintile,2001,1.1,-2.4,4.3,1.5,11.5
all_households,lowest_quintile,2002,1.1,-2.9,4.4,1.6,11.8
all_households,lowest_quintile,2003,1.1,-3.2,4.3,1.5,12.0
all_households,lowest_quintile,2004,1.0,-3.1,4.3,1.4,10.4
all_households,lowest_quintile,2005,1.0,-3.1,4.5,1.4,11.7
all_households,lowest_quintile,2006,1.0,-3.0,4.7,1.4,12.5
all_households,lowest_quintile,2007,1.0,-3.1,5.1,1.5,11.8
all_households,lowest_quintile,2008,0.2,-5.8,5.0,1.6,12.9
all_households,lowest_quintile,2009,-0.1,-6.7,4.7,1.6,13.0
all_households,lowest_quintile,2010,0.0,-6.2,4.7,1.4,14.0
all_households,lowest_quintile,2011,0.1,-5.0,4.8,1.4,14.1
all_households,lowest_quintile,2012,0.2,-4.2,4.5,1.3,13.1
all_households,lowest_quintile,2013,0.4,-4.3,4.7,1.4,13.6
all_households,lowest_quintile,2014,0.3,-4.1,4.5,1.3,12.4
all_households,lowest_quintile,2015,0.3,-4.3,4.7,1.3,12.1
all_households,lowest_quintile,2016,0.3,-4.2,4.7,1.4,12.1
