household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,14000,27200,39100,55300,55300,71100,90000,173600
1,1980,0,12900,25900,37700,54000,54000,69800,87700,170500
1,1981,0,12800,25800,38000,54400,54400,70000,88900,168700
1,1982,0,12100,24800,37100,54200,54200,70600,88300,168300
1,1983,0,11700,24400,37200,54700,54700,71700,91000,176400
1,1984,0,13100,26300,39500,58100,58100,76500,97200,192500
1,1985,0,13000,26300,39600,58300,58300,76800,98700,198000
1,1986,0,12800,26700,40700,60700,60700,80200,104200,228600
1,1987,0,12200,26500,41400,61700,61700,81700,104500,215100
1,1988,0,12500,27200,42000,62800,62800,83100,107600,229900
1,1989,0,13000,27500,42500,63400,63400,84500,109500,232500
1,1990,0,13400,27700,42100,62900,62900,83200,108100,224200
1,1991,0,13000,26700,41600,61700,61700,82300,106700,220500
1,1992,0,12500,26500,41800,62300,62300,83700,109400,231100
1,1993,0,12300,26300,41700,62900,62900,84000,110000,226800
1,1994,0,12500,26900,42700,64200,64200,85400,111400,234900
1,1995,0,13700,28200,43800,65900,65900,88300,116500,250100
1,1996,0,13700,28400,44300,67300,67300,91200,120200,265300
1,1997,0,14400,29300,45500,69000,69000,94800,126300,284000
1,1998,0,15700,30500,47500,72400,72400,98900,133300,306400
1,1999,0,16300,31500,49000,74700,74700,102600,138600,329900
1,2000,0,16500,31800,49700,76000,76000,105300,143000,340800
1,2001,0,15700,31400,49100,75600,75600,103300,138400,309800
1,2002,0,15200,30200,47900,73900,73900,101000,135800,295300
1,2003,0,14700,29900,48100,75100,75100,102600,137500,301600
1,2004,0,15200,31000,49600,77200,77200,106200,143000,327800
1,2005,0,15900,31600,50600,78800,78800,109300,150500,368700
1,2006,0,16200,32000,51500,80800,80800,112700,155600,388700
1,2007,0,17600,33700,52800,82300,82300,115100,159600,400100
1,2008,0,16500,31800,51000,80000,80000,111500,152100,354900
1,2009,0,14600,29700,48800,77700,77700,108100,145700,311400
1,2010,0,14400,29300,48400,77500,77500,108800,147900,330500
1,2011,0,14600,29400,48600,78400,78400,110000,149400,338100
1,2012,0,14300,29100,48700,79200,79200,111200,153900,369800
1,2013,0,14900,30100,49800,80700,80700,114000,157300,361500
1,2014,0,14900,30700,50700,82300,82300,116300,162200,381200
1,2015,0,15900,32100,52600,85200,85200,121100,167100,397900
1,2016,0,16000,32300,52700,85500,85500,121600,167700,388500
1,2017,0,16000,32800,53900,87200,87200,124500,174100,402600
2,1979,0,19900,38500,55300,78200,78200,100500,127300,245500
2,1980,0,18200,36600,53300,76300,76300,98800,124100,241100
2,1981,0,18100,36500,53700,76900,76900,99000,125700,238500
2,1982,0,17100,35100,52500,76700,76700,99800,124800,238000
2,1983,0,16600,34500,52500,77400,77400,101400,128700,249500
2,1984,0,18500,37200,55800,82200,82200,108100,137500,272200
2,1985,0,18400,37300,56000,82500,82500,108600,139500,280000
2,1986,0,18100,37700,57600,85900,85900,113500,147300,323300
2,1987,0,17300,37500,58500,87200,87200,115600,147800,304200
2,1988,0,17700,38500,59300,88800,88800,117500,152200,325200
2,1989,0,18300,38900,60000,89700,89700,119500,154800,328800
2,1990,0,18900,39200,59500,89000,89000,117700,152900,317000
2,1991,0,18400,37800,58900,87300,87300,116400,150900,311800
2,1992,0,17700,37500,59100,88000,88000,118300,154700,326800
2,1993,0,17500,37200,59000,88900,88900,118700,155500,320800
2,1994,0,17700,38000,60300,90700,90700,120800,157500,332200
2,1995,0,19400,39800,61900,93200,93200,124900,164800,353700
2,1996,0,19400,40200,62700,95100,95100,128900,169900,375100
2,1997,0,20300,41400,64300,97600,97600,134000,178600,401700
2,1998,0,22200,43100,67200,102400,102400,139800,188500,433300
2,1999,0,23100,44600,69300,105700,105700,145100,196100,466500
2,2000,0,23300,45000,70300,107500,107500,148900,202200,482000
2,2001,0,22300,44400,69400,107000,107000,146000,195700,438200
2,2002,0,21500,42700,67700,104500,104500,142800,192000,417600
2,2003,0,20800,42400,68100,106200,106200,145100,194500,426500
2,2004,0,21500,43900,70100,109200,109200,150100,202200,463600
2,2005,0,22500,44600,71600,111400,111400,154500,212800,521400
2,2006,0,22900,45300,72800,114200,114200,159400,220000,549700
2,2007,0,24900,47600,74700,116400,116400,162800,225700,565800
2,2008,0,23300,45000,72100,113200,113200,157700,215100,501900
2,2009,0,20600,42000,69000,109900,109900,152800,206100,440400
2,2010,0,20300,41400,68400,109600,109600,153900,209100,467300
2,2011,0,20600,41500,68700,110900,110900,155500,211300,478100
2,2012,0,20200,41200,68900,112000,112000,157200,217700,523000
2,2013,0,21100,42500,70500,114100,114100,161200,222500,511300
2,2014,0,21000,43500,71800,116400,116400,164500,229400,539100
2,2015,0,22400,45300,74400,120500,120500,171300,236300,562700
2,2016,0,22600,45700,74500,121000,121000,172000,237200,549500
2,2017,0,22700,46400,76200,123400,123400,176100,246200,569300
3,1979,0,24300,47100,67700,95800,95800,123100,156000,300700
3,1980,0,22300,44900,65300,93400,93400,121000,152000,295300
3,1981,0,22100,44700,65800,94200,94200,121300,153900,292100
3,1982,0,21000,43000,64300,93900,93900,122300,152900,291500
3,1983,0,20300,42300,64400,94800,94800,124200,157700,305600
3,1984,0,22600,45500,68400,100700,100700,132400,168400,333400
3,1985,0,22600,45600,68600,101000,101000,133000,170900,342900
3,1986,0,22200,46200,70500,105200,105200,139000,180400,396000
3,1987,0,21200,45900,71600,106800,106800,141600,181100,372600
3,1988,0,21700,47200,72700,108700,108700,143900,186400,398300
3,1989,0,22500,47600,73500,109800,109800,146300,189600,402700
3,1990,0,23200,48100,72900,109000,109000,144100,187200,388300
3,1991,0,22500,46200,72100,106900,106900,142600,184800,381800
