household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,62300.0,4700.0,67000.0,1500.0,15000.0,53400.0
all_households,all_quintiles,1980,60100.0,5000.0,65100.0,1500.0,14600.0,52000.0
all_households,all_quintiles,1981,60100.0,5300.0,65400.0,1600.0,14800.0,52100.0
all_households,all_quintiles,1982,59700.0,5800.0,65500.0,1500.0,13600.0,53300.0
all_households,all_quintiles,1983,60200.0,5900.0,66100.0,1600.0,13600.0,54100.0
all_households,all_quintiles,1984,64200.0,5700.0,69900.0,1600.0,14600.0,56800.0
all_households,all_quintiles,1985,65200.0,5800.0,70900.0,1600.0,14900.0,57700.0
all_households,all_quintiles,1986,69800.0,6000.0,75800.0,1600.0,15900.0,61500.0
all_households,all_quintiles,1987,67400.0,5900.0,73300.0,1600.0,15900.0,59000.0
all_households,all_quintiles,1988,70500.0,5900.0,76400.0,1600.0,16700.0,61300.0
all_households,all_quintiles,1989,70900.0,6000.0,76900.0,1700.0,16600.0,62000.0
all_households,all_quintiles,1990,70300.0,6200.0,76500.0,1900.0,16600.0,61900.0
all_households,all_quintiles,1991,68100.0,6600.0,74700.0,2100.0,16100.0,60700.0
all_households,all_quintiles,1992,69800.0,6900.0,76700.0,2400.0,16600.0,62500.0
all_households,all_quintiles,1993,69900.0,7100.0,77000.0,2500.0,17000.0,62500.0
all_households,all_quintiles,1994,70800.0,7000.0,77900.0,2600.0,17500.0,63000.0
all_households,all_quintiles,1995,73900.0,7200.0,81200.0,2700.0,18400.0,65400.0
all_households,all_quintiles,1996,77000.0,7400.0,84300.0,2600.0,19300.0,67600.0
all_households,all_quintiles,1997,80800.0,7500.0,88200.0,2500.0,20300.0,70400.0
all_households,all_quintiles,1998,85600.0,7400.0,92900.0,2600.0,21100.0,74500.0
all_households,all_quintiles,1999,90200.0,7200.0,97500.0,2600.0,22500.0,77600.0
all_households,all_quintiles,2000,92800.0,7300.0,100100.0,2700.0,23100.0,79700.0
all_households,all_quintiles,2001,86900.0,7700.0,94600.0,2900.0,20400.0,77100.0
all_households,all_quintiles,2002,82800.0,8100.0,90900.0,3200.0,18900.0,75200.0
all_households,all_quintiles,2003,84200.0,8200.0,92500.0,3400.0,18400.0,77400.0
all_households,all_quintiles,2004,89400.0,8300.0,97700.0,3600.0,19800.0,81400.0
all_households,all_quintiles,2005,94600.0,8400.0,102900.0,3600.0,21400.0,85100.0
all_households,all_quintiles,2006,98100.0,8800.0,106900.0,3500.0,22400.0,88100.0
all_households,all_quintiles,2007,101300.0,8900.0,110300.0,3600.0,22600.0,91300.0
all_households,all_quintiles,2008,93100.0,9300.0,102400.0,3800.0,19000.0,87200.0
all_households,all_quintiles,2009,85600.0,10800.0,96300.0,4300.0,17200.0,83400.0
all_households,all_quintiles,2010,87200.0,10800.0,98000.0,4400.0,18200.0,84200.0
all_households,all_quintiles,2011,87400.0,10500.0,97900.0,4400.0,17900.0,84300.0
all_households,all_quintiles,2012,91900.0,10600.0,102500.0,4400.0,19400.0,87500.0
all_households,all_quintiles,2013,90600.0,10600.0,101200.0,4500.0,20900.0,84700.0
all_households,all_quintiles,2014,94300.0,10500.0,104800.0,5200.0,22200.0,87800.0
all_households,all_quintiles,2015,97200.0,10800.0,108100.0,5600.0,22800.0,90800.0
all_households,all_quintiles,2016,96200.0,11000.0,107200.0,5700.0,22400.0,90500.0
all_households,all_quintiles,2017,99600.0,11100.0,110700.0,5600.0,23000.0,93300.0
all_households,lowest_quintile,1979,7800.0,9900.0,17700.0,4400.0,1100.0,21100.0
all_households,lowest_quintile,1980,7000.0,10200.0,17200.0,4700.0,900.0,20900.0
all_households,lowest_quintile,1981,6800.0,10400.0,17200.0,4900.0,900.0,21200.0
all_households,lowest_quintile,1982,6300.0,10700.0,17100.0,5000.0,800.0,21200.0
all_households,lowest_quintile,1983,6000.0,10700.0,16700.0,5400.0,900.0,21200.0
all_households,lowest_quintile,1984,7300.0,10100.0,17400.0,5000.0,1200.0,21200.0
all_households,lowest_quintile,1985,7000.0,10500.0,17400.0,5400.0,1100.0,21700.0
all_households,lowest_quintile,1986,6900.0,10500.0,17400.0,5400.0,1100.0,21800.0
all_households,lowest_quintile,1987,6200.0,10700.0,16900.0,5700.0,1000.0,21700.0
all_households,lowest_quintile,1988,6400.0,11000.0,17500.0,5900.0,1000.0,22300.0
all_households,lowest_quintile,1989,7100.0,11100.0,18100.0,6000.0,1000.0,23200.0
all_households,lowest_quintile,1990,7400.0,11300.0,18700.0,6500.0,1100.0,24200.0
all_households,lowest_quintile,1991,7300.0,11800.0,19100.0,7000.0,1000.0,25100.0
all_households,lowest_quintile,1992,7000.0,12500.0,19500.0,7600.0,1000.0,26000.0
all_households,lowest_quintile,1993,6900.0,13000.0,19800.0,8000.0,1000.0,26800.0
all_households,lowest_quintile,1994,6600.0,13200.0,19800.0,8100.0,800.0,27100.0
all_households,lowest_quintile,1995,7600.0,13400.0,21000.0,8100.0,800.0,28300.0
all_households,lowest_quintile,1996,7800.0,13100.0,20900.0,8000.0,700.0,28100.0
all_households,lowest_quintile,1997,8500.0,13500.0,22000.0,7600.0,800.0,28800.0
all_households,lowest_quintile,1998,9700.0,13500.0,23100.0,7800.0,900.0,30000.0
all_households,lowest_quintile,1999,10400.0,13100.0,23500.0,7700.0,1000.0,30200.0
all_households,lowest_quintile,2000,10400.0,12900.0,23400.0,7800.0,900.0,30300.0
all_households,lowest_quintile,2001,9500.0,13800.0,23300.0,8300.0,800.0,30800.0
all_households,lowest_quintile,2002,9000.0,14600.0,23600.0,8600.0,700.0,31500.0
all_households,lowest_quintile,2003,8500.0,14800.0,23300.0,9000.0,700.0,31700.0
all_households,lowest_quintile,2004,8800.0,14900.0,23700.0,9300.0,700.0,32300.0
all_households,lowest_quintile,2005,9300.0,14900.0,24200.0,9400.0,700.0,32800.0
all_households,lowest_quintile,2006,10000.0,15800.0,25800.0,9400.0,800.0,34400.0
all_households,lowest_quintile,2007,11400.0,15500.0,26800.0,9300.0,700.0,35500.0
all_households,lowest_quintile,2008,10300.0,16600.0,27000.0,9600.0,-100.0,36600.0
all_households,lowest_quintile,2009,8900.0,18600.0,27400.0,10700.0,-0.0,38200.0
all_households,lowest_quintile,2010,8700.0,18000.0,26700.0,11000.0,-0.0,37700.0
all_households,lowest_quintile,2011,8800.0,17900.0,26700.0,10600.0,100.0,37200.0
all_households,lowest_quintile,2012,8200.0,17800.0,26100.0,10700.0,100.0,36700.0
all_households,lowest_quintile,2013,9000.0,17700.0,26700.0,10900.0,300.0,37300.0
all_households,lowest_quintile,2014,8600.0,17200.0,25900.0,12000.0,200.0,37700.0
all_households,lowest_quintile,2015,9200.0,18000.0,27200.0,12200.0,100.0,39300.0
all_households,lowest_quintile,2016,9000.0,18500.0,27500.0,12300.0,100.0,39700.0
all_households,lowest_quintile,2017,9100.0,18400.0,27500.0,12200.0,0.0,39700.0
all_households,second_quintile,1979,34000.0,4800.0,38700.0,1100.0,5900.0,33900.0
all_households,second_quintile,1980,31900.0,5500.0,37400.0,1300.0,5500.0,33200.0
all_households,second_quintile,1981,31400.0,5800.0,37200.0,1300.0,5600.0,32900.0
all_households,second_quintile,1982,30000.0,6700.0,36600.0,1300.0,5000.0,32800.0
all_households,second_quintile,1983,28900.0,7000.0,35900.0,1100.0,4900.0,32100.0
all_households,second_quintile,1984,31500.0,6500.0,38000.0,1200.0,5500.0,33600.0
all_households,second_quintile,1985,31400.0,6700.0,38100.0,1100.0,5600.0,33600.0
all_households,second_quintile,1986,31400.0,7300.0,38700.0,1200.0,5500.0,34300.0
all_households,second_quintile,1987,30600.0,7200.0,37800.0,1000.0,5200.0,33600.0
all_households,second_quintile,1988,31200.0,7200.0,38400.0,1000.0,5400.0,34000.0
all_households,second_quintile,1989,31600.0,7400.0,39000.0,1200.0,5200.0,34900.0
all_households,second_quintile,1990,32500.0,7700.0,40200.0,1400.0,5700.0,35800.0
all_households,second_quintile,1991,31200.0,8300.0,39400.0,1700.0,5300.0,35900.0
all_households,second_quintile,1992,30300.0,8800.0,39000.0,2100.0,5000.0,36100.0
all_households,second_quintile,1993,30400.0,9100.0,39600.0,2400.0,5100.0,36900.0
all_households,second_quintile,1994,30900.0,8700.0,39600.0,2400.0,4900.0,37100.0
all_households,second_quintile,1995,32900.0,8900.0,41800.0,2500.0,5300.0,38900.0
all_households,second_quintile,1996,33000.0,9000.0,42000.0,2400.0,5200.0,39100.0
all_households,second_quintile,1997,34200.0,8800.0,43000.0,2300.0,5500.0,39800.0
all_households,second_quintile,1998,36000.0,8600.0,44600.0,2700.0,5500.0,41800.0
all_households,second_quintile,1999,37400.0,8400.0,45900.0,2700.0,5800.0,42700.0
all_households,second_quintile,2000,37600.0,8700.0,46300.0,2700.0,5800.0,43200.0
all_households,second_quintile,2001,36600.0,9300.0,45800.0,3100.0,4900.0,44000.0
all_households,second_quintile,2002,35300.0,9700.0,45000.0,3500.0,4400.0,44200.0
all_households,second_quintile,2003,34800.0,9800.0,44600.0,3900.0,4000.0,44500.0
all_households,second_quintile,2004,36100.0,9700.0,45800.0,4300.0,4200.0,45800.0
all_households,second_quintile,2005,37000.0,9500.0,46500.0,4200.0,4500.0,46200.0
all_households,second_quintile,2006,37600.0,9600.0,47200.0,4100.0,4600.0,46700.0
all_households,second_quintile,2007,39700.0,10000.0,49700.0,4200.0,5000.0,48900.0
all_households,second_quintile,2008,37500.0,10500.0,48000.0,4600.0,3200.0,49400.0
all_households,second_quintile,2009,34200.0,12600.0,46700.0,5300.0,2500.0,49500.0
all_households,second_quintile,2010,33700.0,12600.0,46200.0,5700.0,2700.0,49300.0
all_households,second_quintile,2011,34000.0,11600.0,45600.0,5800.0,2800.0,48600.0
all_households,second_quintile,2012,33500.0,12000.0,45500.0,5800.0,2700.0,48600.0
all_households,second_quintile,2013,34500.0,11800.0,46400.0,5900.0,3400.0,48800.0
all_households,second_quintile,2014,35000.0,11500.0,46500.0,6900.0,3500.0,49900.0
all_households,second_quintile,2015,36800.0,11700.0,48600.0,7700.0,3700.0,52600.0
all_households,second_quintile,2016,37300.0,12100.0,49400.0,7800.0,3700.0,53500.0
all_households,second_quintile,2017,37600.0,12000.0,49700.0,7800.0,3900.0,53600.0
all_households,middle_quintile,1979,55700.0,2900.0,58600.0,500.0,11500.0,47500.0
all_households,middle_quintile,1980,53000.0,3300.0,56300.0,500.0,11100.0,45700.0
all_households,middle_quintile,1981,52700.0,3500.0,56200.0,400.0,11300.0,45300.0
all_households,middle_quintile,1982,51200.0,4400.0,55600.0,400.0,10300.0,45700.0
all_households,middle_quintile,1983,50300.0,4500.0,54900.0,400.0,10000.0,45200.0
all_households,middle_quintile,1984,53500.0,4400.0,58000.0,400.0,10800.0,47600.0
all_households,middle_quintile,1985,53800.0,4500.0,58300.0,400.0,10900.0,47800.0
all_households,middle_quintile,1986,54800.0,4800.0,59600.0,400.0,11200.0,48800.0
all_households,middle_quintile,1987,54500.0,4500.0,59000.0,400.0,11000.0,48400.0
all_households,middle_quintile,1988,55400.0,4400.0,59900.0,400.0,11400.0,48900.0
all_households,middle_quintile,1989,55900.0,4600.0,60400.0,400.0,11400.0,49400.0
all_households,middle_quintile,1990,56100.0,4900.0,61000.0,500.0,11600.0,50000.0
all_households,middle_quintile,1991,54400.0,5400.0,59800.0,600.0,11100.0,49200.0
all_households,middle_quintile,1992,54600.0,5600.0,60200.0,800.0,11100.0,49900.0
all_households,middle_quintile,1993,54700.0,5500.0,60200.0,900.0,11200.0,50000.0
all_households,middle_quintile,1994,55400.0,5300.0,60700.0,900.0,11400.0,50200.0
all_households,middle_quintile,1995,57400.0,5400.0,62800.0,1000.0,11900.0,51900.0
all_households,middle_quintile,1996,57900.0,5900.0,63800.0,900.0,12000.0,52800.0
all_households,middle_quintile,1997,59300.0,5900.0,65200.0,900.0,12300.0,53800.0
all_households,middle_quintile,1998,61500.0,5900.0,67400.0,1000.0,12300.0,56000.0
all_households,middle_quintile,1999,63700.0,5600.0,69400.0,1100.0,12800.0,57700.0
all_households,middle_quintile,2000,64100.0,5800.0,69900.0,1100.0,12700.0,58300.0
all_households,middle_quintile,2001,63300.0,6400.0,69700.0,1300.0,11500.0,59500.0
all_households,middle_quintile,2002,61300.0,6700.0,67900.0,1600.0,10800.0,58700.0
all_households,middle_quintile,2003,61300.0,6700.0,68000.0,1700.0,10200.0,59400.0
all_households,middle_quintile,2004,63300.0,6700.0,70000.0,1800.0,10700.0,61100.0
all_households,middle_quintile,2005,64300.0,6700.0,71000.0,1800.0,11100.0,61700.0
all_households,middle_quintile,2006,64700.0,7100.0,71800.0,1700.0,11300.0,62300.0
all_households,middle_quintile,2007,67200.0,7200.0,74400.0,1900.0,11700.0,64600.0
all_households,middle_quintile,2008,64300.0,7600.0,71900.0,2000.0,9300.0,64600.0
all_households,middle_quintile,2009,61200.0,9200.0,70500.0,2500.0,8700.0,64300.0
all_households,middle_quintile,2010,60200.0,9600.0,69800.0,2500.0,8800.0,63400.0
all_households,middle_quintile,2011,60100.0,9000.0,69100.0,2600.0,8700.0,63000.0
all_households,middle_quintile,2012,60100.0,9100.0,69200.0,2500.0,8900.0,62900.0
all_households,middle_quintile,2013,61600.0,9000.0,70600.0,2600.0,10100.0,63100.0
all_households,middle_quintile,2014,63000.0,9100.0,72000.0,3300.0,10500.0,64800.0
all_households,middle_quintile,2015,65000.0,9300.0,74300.0,3700.0,10900.0,67100.0
all_households,middle_quintile,2016,65500.0,9100.0,74600.0,3800.0,11000.0,67400.0
all_households,middle_quintile,2017,66800.0,9100.0,75900.0,3900.0,11200.0,68700.0
all_households,fourth_quintile,1979,77100.0,2200.0,79300.0,300.0,17600.0,61900.0
all_households,fourth_quintile,1980,74800.0,2400.0,77200.0,200.0,17300.0,60100.0
all_households,fourth_quintile,1981,75500.0,2700.0,78200.0,200.0,18100.0,60400.0
all_households,fourth_quintile,1982,74400.0,3100.0,77400.0,200.0,16700.0,60900.0
all_households,fourth_quintile,1983,73900.0,3300.0,77200.0,200.0,16200.0,61200.0
all_households,fourth_quintile,1984,78200.0,3200.0,81400.0,200.0,17200.0,64400.0
all_households,fourth_quintile,1985,78300.0,3200.0,81600.0,200.0,17400.0,64300.0
all_households,fourth_quintile,1986,81100.0,3200.0,84200.0,200.0,18200.0,66200.0
all_households,fourth_quintile,1987,81900.0,3100.0,85000.0,200.0,18000.0,67200.0
all_households,fourth_quintile,1988,82600.0,3100.0,85600.0,200.0,18500.0,67300.0
all_households,fourth_quintile,1989,83300.0,3300.0,86600.0,200.0,18700.0,68100.0
all_households,fourth_quintile,1990,82600.0,3400.0,86000.0,300.0,18600.0,67600.0
all_households,fourth_quintile,1991,81700.0,3500.0,85100.0,300.0,18400.0,67100.0
all_households,fourth_quintile,1992,82200.0,3700.0,85900.0,400.0,18400.0,67900.0
