year,market_inc,adj_market_inc,inc_before_transfers_taxes,adj_inc_before_transfers_taxes,inc_after_transfers_taxes,adj_inc_after_transfers_taxes
1979,60900,33000,63700,34900,52300,28500
1980,58100,31800,61600,33900,50900,27700
1981,58000,31800,61500,34100,50400,27600
1982,56300,31000,60500,33700,50300,27700
1983,55500,30600,59900,33500,49900,27800
1984,58800,32600,62800,35400,52200,29100
1985,59100,32700,63300,35600,52400,29300
1986,60400,33500,64900,36600,53500,30000
1987,60000,33700,64400,36900,53400,30500
1988,60900,34400,65200,37400,53700,30800
1989,61400,34900,65900,38000,54600,31300
1990,61700,34600,66500,38000,55100,31400
1991,59900,33800,65400,37700,55000,31400
1992,59700,33900,65400,37800,55500,31800
1993,60100,33900,65800,37900,56000,31900
1994,60900,34400,66300,38400,56600,32300
1995,62900,35700,68500,39500,58700,33400
1996,63800,36000,69800,40200,59400,33800
1997,65300,37100,71200,41100,60600,34400
1998,67900,38700,73700,42700,63300,36200
1999,70600,39800,76200,43800,65300,37200
2000,70800,40300,76800,44400,66000,37800
2001,69900,39800,76200,44200,67000,38500
2002,67600,38500,74300,43400,66500,38300
2003,67400,38500,74300,43500,67600,39000
2004,69800,39800,76700,44700,69800,40000
2005,71300,40600,78000,45400,70700,40500
2006,71700,41300,79100,46400,71600,41200
2007,74400,42600,82200,47800,74500,42600
2008,71400,40800,79600,46400,75000,42800
2009,67600,38500,77900,45400,74600,42500
2010,66500,38100,77300,45300,73900,42300
2011,66500,38200,76400,44900,73600,42200
2012,66500,38300,76500,44900,73300,42000
2013,68000,39300,77900,45800,73600,42200
2014,69600,40000,79400,46300,75600,43100
2015,72200,41500,82200,48200,79000,44900
2016,72600,41800,82700,48500,79500,45300
2017,74000,42600,83800,49200,80300,45900
