household_type,income_group,year,market_inc,inc_before_transfers_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0
all_households,lowest_quintile,1979,2.9,6.2,9.3
all_households,lowest_quintile,1980,2.7,6.2,9.4
all_households,lowest_quintile,1981,2.6,6.0,9.3
all_households,lowest_quintile,1982,2.4,5.9,9.0
all_households,lowest_quintile,1983,2.2,5.6,8.7
all_households,lowest_quintile,1984,2.6,5.7,8.5
all_households,lowest_quintile,1985,2.4,5.5,8.5
all_households,lowest_quintile,1986,2.2,5.2,8.0
all_households,lowest_quintile,1987,2.0,5.1,8.1
all_households,lowest_quintile,1988,2.0,5.0,7.9
all_households,lowest_quintile,1989,2.2,5.1,8.1
all_households,lowest_quintile,1990,2.3,5.4,8.6
all_households,lowest_quintile,1991,2.3,5.6,9.1
all_households,lowest_quintile,1992,2.2,5.5,9.0
all_households,lowest_quintile,1993,2.1,5.6,9.3
all_households,lowest_quintile,1994,2.0,5.5,9.3
all_households,lowest_quintile,1995,2.3,5.8,9.7
all_households,lowest_quintile,1996,2.2,5.5,9.2
all_households,lowest_quintile,1997,2.3,5.5,9.0
all_households,lowest_quintile,1998,2.5,5.5,8.9
all_households,lowest_quintile,1999,2.5,5.3,8.5
all_households,lowest_quintile,2000,2.5,5.2,8.4
all_households,lowest_quintile,2001,2.4,5.4,8.8
all_households,lowest_quintile,2002,2.4,5.8,9.4
all_households,lowest_quintile,2003,2.3,5.7,9.2
all_households,lowest_quintile,2004,2.2,5.5,9.0
all_households,lowest_quintile,2005,2.2,5.3,8.8
all_households,lowest_quintile,2006,2.3,5.4,8.7
all_households,lowest_quintile,2007,2.5,5.5,8.8
all_households,lowest_quintile,2008,2.5,6.0,9.6
all_households,lowest_quintile,2009,2.3,6.3,10.2
all_households,lowest_quintile,2010,2.2,6.1,10.1
all_households,lowest_quintile,2011,2.3,6.2,10.1
all_households,lowest_quintile,2012,2.0,5.8,9.5
all_households,lowest_quintile,2013,2.3,6.0,10.0
all_households,lowest_quintile,2014,2.1,5.7,9.8
all_households,lowest_quintile,2015,2.2,5.8,10.0
all_households,lowest_quintile,2016,2.2,6.0,10.3
all_households,lowest_quintile,2017,2.1,5.8,9.9
all_households,second_quintile,1979,10.4,11.0,12.1
all_households,second_quintile,1980,10.1,10.9,12.1
all_households,second_quintile,1981,10.0,10.9,12.1
all_households,second_quintile,1982,9.6,10.7,11.8
all_households,second_quintile,1983,9.3,10.5,11.5
all_households,second_quintile,1984,9.5,10.5,11.4
all_households,second_quintile,1985,9.3,10.3,11.2
all_households,second_quintile,1986,8.7,9.8,10.8
all_households,second_quintile,1987,8.9,10.1,11.2
all_households,second_quintile,1988,8.7,9.9,11.0
all_households,second_quintile,1989,8.8,10.0,11.1
all_households,second_quintile,1990,9.0,10.2,11.3
all_households,second_quintile,1991,8.9,10.3,11.5
all_households,second_quintile,1992,8.6,10.0,11.4
all_households,second_quintile,1993,8.5,10.0,11.5
all_households,second_quintile,1994,8.6,10.0,11.6
all_households,second_quintile,1995,8.6,9.9,11.4
all_households,second_quintile,1996,8.3,9.7,11.2
all_households,second_quintile,1997,8.2,9.4,10.9
all_households,second_quintile,1998,8.1,9.2,10.8
all_households,second_quintile,1999,8.0,9.0,10.6
all_households,second_quintile,2000,7.8,8.9,10.5
all_households,second_quintile,2001,8.1,9.3,11.0
all_households,second_quintile,2002,8.2,9.5,11.3
all_households,second_quintile,2003,7.9,9.2,11.0
all_households,second_quintile,2004,7.7,9.0,10.8
all_households,second_quintile,2005,7.4,8.6,10.3
all_households,second_quintile,2006,7.2,8.4,10.0
all_households,second_quintile,2007,7.5,8.6,10.2
all_households,second_quintile,2008,7.7,8.9,10.8
all_households,second_quintile,2009,7.7,9.3,11.4
all_households,second_quintile,2010,7.4,9.0,11.2
all_households,second_quintile,2011,7.4,8.9,10.9
all_households,second_quintile,2012,6.9,8.4,10.5
all_households,second_quintile,2013,7.3,8.7,11.0
all_households,second_quintile,2014,7.1,8.5,10.9
all_households,second_quintile,2015,7.2,8.6,11.0
all_households,second_quintile,2016,7.4,8.7,11.2
all_households,second_quintile,2017,7.2,8.5,10.9
all_households,middle_quintile,1979,16.1,15.7,16.0
all_households,middle_quintile,1980,16.0,15.7,15.9
all_households,middle_quintile,1981,16.0,15.7,15.9
all_households,middle_quintile,1982,15.8,15.6,15.7
all_households,middle_quintile,1983,15.4,15.3,15.4
all_households,middle_quintile,1984,15.4,15.3,15.4
all_households,middle_quintile,1985,15.1,15.1,15.2
all_households,middle_quintile,1986,14.5,14.5,14.6
all_households,middle_quintile,1987,15.2,15.1,15.4
all_households,middle_quintile,1988,14.6,14.6,14.9
all_households,middle_quintile,1989,14.8,14.8,15.0
all_households,middle_quintile,1990,14.8,14.8,15.0
all_households,middle_quintile,1991,15.0,15.0,15.3
all_households,middle_quintile,1992,14.7,14.7,15.0
all_households,middle_quintile,1993,14.7,14.7,15.0
all_households,middle_quintile,1994,14.7,14.7,15.0
all_households,middle_quintile,1995,14.5,14.5,14.9
all_households,middle_quintile,1996,14.1,14.2,14.7
all_households,middle_quintile,1997,13.8,13.9,14.4
all_households,middle_quintile,1998,13.6,13.7,14.2
all_households,middle_quintile,1999,13.3,13.4,14.0
all_households,middle_quintile,2000,13.0,13.2,13.8
all_households,middle_quintile,2001,13.6,13.8,14.4
all_households,middle_quintile,2002,13.8,14.0,14.6
all_households,middle_quintile,2003,13.6,13.8,14.4
all_households,middle_quintile,2004,13.3,13.5,14.1
all_households,middle_quintile,2005,12.8,13.0,13.7
all_households,middle_quintile,2006,12.6,12.8,13.5
all_households,middle_quintile,2007,12.5,12.7,13.3
all_households,middle_quintile,2008,13.1,13.3,14.0
