household_type,income_group,year,all_federal_taxes,individual_income_tax,payroll_taxes,corporate_income_tax,excise_taxes
all_households,all_quintiles,1979,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1980,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1981,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1982,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1983,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1984,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1985,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1986,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1987,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1988,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1989,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1990,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1991,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1992,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1993,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1994,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1995,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1996,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1997,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1998,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,1999,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2000,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2001,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2002,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2003,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2004,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2005,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2006,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2007,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2008,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2009,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2010,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2011,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2012,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2013,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2014,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2015,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2016,100.0,100.0,100.0,100.0,100.0
all_households,all_quintiles,2017,100.0,100.0,100.0,100.0,100.0
all_households,lowest_quintile,1979,1.7,-0.3,3.0,2.8,10.7
all_households,lowest_quintile,1980,1.5,-0.3,2.9,2.5,10.5
all_households,lowest_quintile,1981,1.4,-0.2,2.8,2.3,10.3
all_households,lowest_quintile,1982,1.4,-0.2,2.6,2.2,10.4
all_households,lowest_quintile,1983,1.5,-0.2,2.4,2.1,11.2
all_households,lowest_quintile,1984,1.8,0.0,2.8,2.5,12.1
all_households,lowest_quintile,1985,1.7,-0.1,2.7,2.2,12.0
all_households,lowest_quintile,1986,1.5,-0.1,2.5,2.1,11.1
all_households,lowest_quintile,1987,1.3,-0.3,2.1,2.1,11.2
all_households,lowest_quintile,1988,1.3,-0.4,2.2,1.9,10.7
all_households,lowest_quintile,1989,1.3,-0.5,2.4,2.0,10.4
all_households,lowest_quintile,1990,1.4,-0.5,2.6,2.2,11.4
all_households,lowest_quintile,1991,1.4,-0.8,2.5,2.2,11.6
all_households,lowest_quintile,1992,1.3,-0.8,2.5,2.1,11.6
all_households,lowest_quintile,1993,1.3,-0.9,2.4,2.0,11.9
all_households,lowest_quintile,1994,1.0,-1.4,2.2,1.9,11.9
all_households,lowest_quintile,1995,1.0,-1.8,2.6,2.0,12.2
all_households,lowest_quintile,1996,0.8,-1.8,2.7,1.7,12.1
all_households,lowest_quintile,1997,0.8,-1.8,2.8,1.6,12.6
all_households,lowest_quintile,1998,0.9,-1.8,3.0,1.8,12.4
all_households,lowest_quintile,1999,1.0,-1.6,3.1,1.8,12.4
all_households,lowest_quintile,2000,0.8,-1.7,3.1,1.8,12.4
all_households,lowest_quintile,2001,0.8,-1.9,2.8,1.8,12.2
all_households,lowest_quintile,2002,0.8,-2.1,2.8,1.9,12.9
all_households,lowest_quintile,2003,0.9,-2.2,2.6,1.7,13.0
all_households,lowest_quintile,2004,0.8,-2.2,2.7,1.5,11.3
all_households,lowest_quintile,2005,0.8,-2.2,2.8,1.4,12.6
all_households,lowest_quintile,2006,0.8,-2.2,2.9,1.4,13.4
all_households,lowest_quintile,2007,0.7,-2.4,3.4,1.5,12.7
all_households,lowest_quintile,2008,-0.1,-4.8,3.1,1.6,13.7
all_households,lowest_quintile,2009,0.0,-4.5,2.7,1.6,13.5
all_households,lowest_quintile,2010,0.0,-4.3,2.7,1.3,14.5
all_households,lowest_quintile,2011,0.1,-3.5,2.8,1.3,14.5
all_households,lowest_quintile,2012,0.1,-2.8,2.6,1.1,13.8
all_households,lowest_quintile,2013,0.3,-3.0,2.7,1.3,14.4
all_households,lowest_quintile,2014,0.2,-2.9,2.6,1.1,12.9
all_households,lowest_quintile,2015,0.1,-3.1,2.7,1.2,12.7
