year,Income_Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 20,12.45544782,3.818790111,15.51383482,1.988953183,0.994476591,25.85639137,0.397790637,25.85639137,59.66859548,27.84534456,1.790057864,23.86743819,9.944765913,1.591162546,29.83429774,17.90057864,59.66859548,3.977906365,26.95866923,19.88953183,19.88953183,1.988953183,29.83429774,3.38122041,13.92267228,7.95581273,2.685086796,1.988953183,0.596685955,0.994476591,13.92267228,0.019889532,3.977906365,5.330394529,0.994476591
1989,20-39.9,29.06271158,49.32603893,82.42221988,8.751394003,1.988953183,19.88953183,1.392267228,49.72382956,9.944765913,19.88953183,3.977906365,39.77906365,5.966859548,1.988953183,11.9337191,74.7448606,99.44765913,7.95581273,49.72382956,23.86743819,33.8122041,9.944765913,45.7459232,9.944765913,23.86743819,47.73487638,5.966859548,1.790057864,1.19337191,1.988953183,23.86743819,49.72382956,5.966859548,5.966859548,1.988953183
1989,40-59.9,51.89769926,83.77470805,134.2145608,16.70720673,3.977906365,21.87848501,1.19337191,31.82325092,7.95581273,11.9337191,3.977906365,13.92267228,14.32046291,3.977906365,9.944765913,103.4255655,119.337191,11.9337191,89.50289321,29.83429774,69.61336139,11.9337191,51.71278275,23.86743819,41.76801683,27.84534456,11.9337191,0.994476591,1.591162546,1.790057864,41.76801683,15.91162546,11.9337191,7.95581273,2.983429774
1989,60-79.9,80.96041084,134.2543398,214.8069437,30.11275118,5.569068911,19.88953183,0.994476591,39.77906365,9.944765913,19.88953183,5.966859548,63.64650184,17.90057864,5.966859548,11.9337191,169.0610205,149.1714887,17.90057864,79.5581273,19.88953183,59.66859548,13.92267228,57.08295634,56.08847975,71.60231457,27.84534456,13.92267228,3.977906365,1.988953183,1.988953183,71.60231457,29.83429774,12.41106786,5.966859548,3.977906365
1989,80-89.9,118.3267543,266.7782904,384.6635455,58.8730142,9.546975276,17.90057864,0.994476591,53.70173593,9.944765913,15.91162546,9.944765913,63.64650184,29.83429774,5.966859548,19.09395055,272.486586,198.8953183,23.86743819,119.337191,49.72382956,119.337191,19.88953183,79.5581273,79.5581273,83.53603367,53.70173593,15.91162546,3.977906365,2.565749606,7.95581273,81.54708048,49.72382956,15.91162546,3.977906365,3.977906365
1989,90-100,207.590797,785.6365071,940.7748553,294.3690489,29.83429774,39.77906365,1.988953183,69.61336139,29.83429774,49.72382956,19.88953183,119.337191,89.50289321,31.82325092,79.5581273,594.1003156,397.7906365,29.83429774,188.9505523,188.9505523,298.3429774,49.72382956,222.6633088,147.1825355,139.2267228,79.5581273,15.91162546,9.944765913,4.375697002,9.944765913,119.337191,47.73487638,13.92267228,5.748074698,15.91162546
1992,Less than 20,12.09225488,7.043565012,26.90498818,2.252510638,1.036869976,11.62009456,0.536312057,17.87706856,8.938534279,30.39101655,1.787706856,21.45248227,14.30165485,1.787706856,13.40780142,38.61446809,71.50827423,4.290496454,42.90496454,35.75413712,51.84349882,3.396643026,36.64799054,3.861446809,26.81560284,46.48037825,3.396643026,1.430165485,0.893853428,1.787706856,26.81560284,71.50827423,3.754184397,5.363120567,1.787706856
1992,20-39.9,27.48239745,49.60886525,75.31608984,6.972056738,1.966477541,28.60330969,0.715082742,23.24018913,7.150827423,10.72624114,3.21787234,28.60330969,7.508368794,3.932955083,6.614515366,65.96638298,96.53617021,7.508368794,37.54184397,16.0893617,21.45248227,8.938534279,35.75413712,9.832387707,37.54184397,7.150827423,5.184349882,8.849148936,1.501673759,1.430165485,37.54184397,21.45248227,6.435744681,4.826808511,1.787706856
1992,40-59.9,47.63615557,70.70380615,110.5339149,13.94411348,3.253626478,26.81560284,0.893853428,32.1787234,8.580992908,26.81560284,4.111725768,28.60330969,12.51394799,5.363120567,8.938534279,88.67026005,116.2009456,10.72624114,74.48033688,33.96643026,53.63120567,8.938534279,35.75413712,20.20108747,57.20661939,28.60330969,7.383229314,2.860330969,1.60893617,3.575413712,53.63120567,17.87706856,7.383229314,6.07820331,1.787706856
1992,60-79.9,75.11855302,134.810974,220.066714,31.10609929,4.826808511,11.62009456,0.983238771,71.50827423,8.938534279,22.3463357,6.256973995,35.75413712,21.45248227,3.575413712,14.56981088,165.6131631,151.9550827,16.44690307,71.50827423,53.63120567,62.39096927,8.938534279,46.48037825,54.88260047,78.65910166,32.1787234,11.79886525,2.681560284,2.502789598,5.184349882,78.65910166,16.0893617,11.62009456,6.972056738,2.324018913
